nout	nsum	cfl	tlength	tsum	dmax	vmax	volume	ekin
R	-----	-----	-----	-----	*1.700	-----	*37531396.0	-----
0	0	-----	-----	0.0	1.700	0.00	37531396.0	
1	544	0.000	0.9	10.0	1.653	0.01	35158836.0	1206
2	1087	0.000	0.9	20.0	1.655	0.01	34507516.0	1078
3	1631	0.000	0.9	30.0	1.656	0.01	34017896.0	998
4	2174	0.000	0.9	40.0	1.656	0.01	33628904.0	1129
5	2717	0.000	0.9	50.0	1.656	0.01	33306546.0	1247
6	3260	0.000	0.9	60.0	1.656	0.01	33029200.0	1299
7	3261	0.000	0.9	60.0	1.656	0.01	33028748.0	1302
8	3804	0.000	0.9	70.0	1.656	0.01	32784598.0	1324
9	4347	0.000	0.9	80.0	1.656	0.01	32566216.0	1352
10	4890	0.000	0.9	90.0	1.656	0.01	32369240.0	1359
11	5434	0.000	0.9	100.0	1.655	0.01	32190162.0	1353
12	5977	0.000	0.9	110.0	1.655	0.01	32027178.0	1359
13	6520	0.000	0.9	120.0	1.655	0.01	31877538.0	1365
14	7064	0.000	0.9	130.0	1.655	0.01	31739108.0	1368
15	7607	0.000	0.9	140.0	1.655	0.01	31610438.0	1347
16	8150	0.000	0.9	150.0	1.655	0.01	31489938.0	1326
17	8693	0.000	0.9	160.0	1.655	0.01	31376428.0	1319
18	8694	0.000	0.9	160.0	1.655	0.01	31376188.0	1311
19	9237	0.000	0.9	170.0	1.654	0.01	31268412.0	1295
20	9780	0.000	0.9	180.0	1.654	0.01	31166146.0	1280
21	10323	0.000	0.9	190.0	1.654	0.01	31068276.0	1272
22	10867	0.000	0.9	200.0	1.654	0.01	30974590.0	1257
23	11410	0.000	0.9	210.0	1.654	0.01	30884504.0	1226
24	11953	0.000	0.9	220.0	1.654	0.01	30797728.0	1225
25	12497	0.000	0.9	230.0	1.654	0.01	30713638.0	1213
26	13040	0.000	0.9	240.0	1.654	0.01	30632730.0	1197
27	13583	0.000	0.9	250.0	1.654	0.01	30554216.0	1197
28	14126	0.000	0.9	260.0	1.654	0.01	30477932.0	1190
29	14670	0.000	0.9	270.0	1.654	0.01	30403720.0	1185
30	15213	0.000	0.9	280.0	1.654	0.01	30331338.0	1192
31	15756	0.000	0.9	290.0	1.654	0.01	30260820.0	1176
