nout	nsum	z0_vflow1	z0vchange1
0	0	37531396.000	0
1	10.0	35158836.000	0.000
2	20.0	34507516.000	0.000
3	30.0	34017896.000	0.000
4	40.0	33628904.000	0.000
5	50.0	33306546.000	0.000
6	60.0	33029200.000	0.000
7	60.0	33028748.000	0.000
8	70.0	32784598.000	0.000
9	80.0	32566216.000	0.000
10	90.0	32369240.000	0.000
11	100.0	32190162.000	0.000
12	110.0	32027178.000	0.000
13	120.0	31877538.000	0.000
14	130.0	31739108.000	0.000
15	140.0	31610438.000	0.000
16	150.0	31489938.000	0.000
17	160.0	31376428.000	0.000
18	160.0	31376188.000	0.000
19	170.0	31268412.000	0.000
20	180.0	31166146.000	0.000
21	190.0	31068276.000	0.000
22	200.0	30974590.000	0.000
23	210.0	30884504.000	0.000
24	220.0	30797728.000	0.000
25	230.0	30713638.000	0.000
26	240.0	30632730.000	0.000
27	250.0	30554216.000	0.000
28	260.0	30477932.000	0.000
29	270.0	30403720.000	0.000
30	280.0	30331338.000	0.000
31	290.0	30260820.000	0.000
