nout	nsum	cfl	tlength	tsum	dmax	vmax	volume	ekin
R	-----	-----	-----	-----	*1.700	-----	*176971152	-----
0	0	-----	-----	0.0	1.700	0.00	176971152	
1	16	0.392	96.1	11.5	2.073	38.78	166174432	814755545088
2	23	0.387	59.3	20.3	3.136	55.33	166028480	1390847983616
3	32	0.399	65.9	30.7	5.330	48.66	165865216	1209754451968
4	39	0.391	70.4	40.2	6.153	43.17	165760944	747924750336
5	46	0.396	70.4	50.1	4.790	47.62	165670736	461583810560
6	54	0.400	72.2	61.3	4.509	39.99	165579184	350072274944
7	61	0.400	59.7	71.1	4.616	35.66	165507664	319257739264
8	67	0.395	79.9	80.3	4.809	36.31	165455792	317670293504
9	74	0.388	80.7	91.2	4.956	35.59	165401584	294138806272
10	80	0.376	80.5	100.7	5.068	35.37	165361088	275313655808
11	86	0.369	79.6	110.3	5.160	35.18	165323984	259448815616
12	93	0.372	77.8	121.4	5.248	34.99	165284336	249019105280
13	99	0.377	76.9	130.8	5.300	35.01	165252976	241701306368
14	105	0.386	75.4	140.3	5.345	34.79	165223152	236118097920
15	112	0.383	76.6	151.3	5.400	34.26	165190336	233949134848
16	118	0.384	76.2	160.7	5.441	34.26	165164976	229900419072
17	124	0.391	75.8	170.2	5.479	34.22	165140304	224646365184
18	131	0.399	75.6	181.3	5.526	34.08	165115456	221519659008
19	137	0.400	81.2	190.4	5.498	33.69	165092576	214312796160
20	144	0.336	78.8	200.3	5.384	34.78	165062672	214630858752
21	151	0.316	78.6	210.0	5.308	35.15	165032288	221282435072
22	159	0.311	78.9	221.1	5.281	35.24	164999520	224703676416
23	166	0.312	79.0	230.9	5.281	35.17	164971744	223252430848
24	173	0.312	79.0	240.6	5.284	35.09	164945872	220938223616
25	180	0.310	78.8	250.3	5.280	35.05	164920416	217395281920
26	188	0.307	78.7	261.4	5.272	35.06	164893200	214560604160
27	195	0.302	78.5	271.0	5.264	35.09	164870176	212735262720
28	202	0.301	78.4	280.6	5.257	35.12	164847456	211132039168
29	209	0.300	78.3	290.2	5.251	35.12	164825744	209883185152
30	217	0.299	78.2	301.1	5.243	35.13	164802944	208250568704
