nout	nsum	z0_vflow1	z0vchange1
0	0	176971152.000	0
1	11.5	166174432.000	0.000
2	20.3	166028480.000	0.000
3	30.7	165865216.000	0.000
4	40.2	165760944.000	0.000
5	50.1	165670736.000	0.000
6	61.3	165579184.000	0.000
7	71.1	165507664.000	0.000
8	80.3	165455792.000	0.000
9	91.2	165401584.000	0.000
10	100.7	165361088.000	0.000
11	110.3	165323984.000	0.000
12	121.4	165284336.000	0.000
13	130.8	165252976.000	0.000
14	140.3	165223152.000	0.000
15	151.3	165190336.000	0.000
16	160.7	165164976.000	0.000
17	170.2	165140304.000	0.000
18	181.3	165115456.000	0.000
19	190.4	165092576.000	0.000
20	200.3	165062672.000	0.000
21	210.0	165032288.000	0.000
22	221.1	164999520.000	0.000
23	230.9	164971744.000	0.000
24	240.6	164945872.000	0.000
25	250.3	164920416.000	0.000
26	261.4	164893200.000	0.000
27	271.0	164870176.000	0.000
28	280.6	164847456.000	0.000
29	290.2	164825744.000	0.000
30	301.1	164802944.000	0.000
