row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
2,51,1,1158.0,17.81406,277.05933,-0.00699283,-0.0008428567,7.010168,452.0603,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66023,8.987194e-06,0.0,0.0,10.0
3,50,1,1220.0,28.016573,237.26555,-0.0019087004,0.0022277941,5.119565,531.7659,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660397,5.41713e-06,0.0,0.0,10.0
3,51,1,1196.0,24.131464,251.64923,0.0001394331,-0.00029218916,5.984757,443.13828,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660347,6.480553e-06,0.0,0.0,10.0
7,103,1,1472.0,13.013254,82.989395,-0.0003833423,-0.0006707781,8.0329,377.5929,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66007,1.2519282e-05,0.0,0.0,10.0
17,121,1,1700.0,21.379791,299.33792,0.0017069132,0.0008422131,6.1195498,377.5929,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660303,7.4300383e-06,0.0,0.0,10.0
21,121,1,1798.0,12.412485,1.4566089,0.018664042,-0.000541023,6.002311,679.74615,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660036,1.3240891e-05,0.0,0.0,10.0
21,122,1,1822.0,13.056816,4.150286,0.017493742,0.0011576826,5.949998,719.05414,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.6007,1.255726e-05,0.0,0.0,30.0
22,116,1,1681.0,40.6998,65.59296,-0.0015880956,0.001862561,5.7378893,455.55338,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66049,3.4042218e-06,0.0,0.0,10.0
22,117,1,1723.0,37.219543,64.953545,0.0021997262,0.002470915,5.456743,480.7218,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66047,3.821995e-06,0.0,0.0,10.0
22,118,1,1738.0,35.34828,80.38499,0.0014284728,0.0030599004,5.525221,519.969,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660458,4.0878504e-06,0.0,0.0,10.0
22,121,1,1786.0,28.095879,64.324715,0.00072136347,0.0031766389,5.8093777,694.5855,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660397,5.41713e-06,0.0,0.0,10.0
22,122,1,1805.0,24.526546,65.14139,0.0014248391,0.003076989,5.27324,764.5667,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660353,6.3666143e-06,0.0,0.0,10.0
