row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
43,37,0,12.0,0.0,0.0,0.0,0.0,11.397158,125.96366,1.7,0.0,35.0,0.033835303,0.01,3000.0,0.1,0.0,999.0,0.0,0.0,10.0
119,114,0,2.0,0.32055113,270.0,-0.0,-0.0,9.675333,198.7624,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
13,38,0,10.0,0.32055113,90.0,-0.0,-6.2599094e-05,10.36848,199.56885,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.18508,0.00051513937,0.0,0.0,50.0
70,112,0,1.0,0.90966344,135.19333,-0.009923273,-0.00022051959,10.578136,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
110,66,0,10.0,0.32272166,0.0,0.0055571017,-9.5174546e-05,9.668584,89.3698,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.18508,0.00051513937,0.0,0.0,50.0
104,47,0,6.0,89.68965,0.0034725822,4.1368686e-11,1.6521125e-07,0.3697357,282.4226,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660643,6.2032626e-08,0.0,0.0,10.0
23,72,0,2.0,1.0197542,18.319262,-0.005986889,-0.00033574167,10.915858,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
71,115,0,5.0,0.0,0.0,0.0,0.0,11.397158,177.53741,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,0.0,999.0,0.0,0.0,40.0
78,107,0,2.0,0.45486036,315.19333,0.007938619,-6.301856e-05,9.325374,88.76871,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
69,51,0,11.0,0.71771735,116.72003,0.004041177,4.4544006e-05,8.869257,198.7624,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
0,64,0,9.0,1.3219734,255.87251,-0.0024241994,2.334727e-05,10.204237,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
85,119,0,4.0,1.0197542,341.68073,-0.0010565099,-0.00017147079,9.21111,199.56885,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
95,45,0,10.0,89.68966,0.0034724763,6.781916e-07,1.6523143e-07,-0.7288987,199.56885,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660643,6.2032626e-08,0.0,0.0,10.0
8,72,0,11.0,1.9619372,189.39983,0.0022481394,0.00023855602,7.8633065,177.53741,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,10.0
31,62,0,12.0,0.71771735,63.279964,0.001010294,0.00011337193,8.869257,88.76871,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
3,25,0,8.0,89.6897,0.0069443164,1.6968762e-07,1.6515583e-07,-0.035861496,125.96366,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660643,6.2032626e-08,0.0,0.0,10.0
82,116,0,2.0,1.3298659,193.94554,-0.0042863013,-0.0002471582,9.350985,88.76871,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.64734,0.00012497634,0.0,0.0,40.0
30,107,0,2.0,3.854343,274.79575,-8.4430896e-05,-8.8039946e-05,7.8800664,125.96366,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.76044,4.2826854e-05,0.0,0.0,40.0
99,107,0,-1.0,1.606267,127.055664,9.007034e-05,-0.00031686347,9.162067,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
70,62,0,11.0,0.9615732,270.0,-0.0037805042,6.2575586e-05,8.57672,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652765,0.00017176698,0.0,0.0,10.0
102,66,0,12.0,0.32055113,270.0,0.011341513,9.389865e-05,9.675333,199.56885,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
114,120,0,2.0,0.71771735,296.72003,0.0025257363,-3.205817e-05,8.869257,125.96366,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.62274,0.0001429026,0.0,0.0,40.0
49,53,0,11.0,0.71771735,243.27997,0.0070720604,0.0001326096,8.869257,89.3698,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
102,93,0,2.0,0.90966344,224.80667,-0.006946291,-4.704509e-05,9.325374,321.56207,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
7,66,0,11.0,0.71771735,296.72003,0.0065669143,-0.00011268878,8.869257,177.53741,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
56,74,0,5.0,0.90966344,135.19333,-0.0049616364,-1.5116702e-05,8.632226,125.96366,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26144,0.00018217333,0.0,0.0,50.0
46,95,0,5.0,1.0197542,18.319262,0.0028173593,0.00013929237,8.517962,251.92732,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
83,101,0,2.0,0.7206291,206.4107,0.004990482,3.1975804e-05,8.865208,88.76871,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
111,66,0,9.0,0.45486036,135.19333,-0.015877238,-8.56336e-07,10.934812,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
48,48,0,10.0,1.0197542,161.68073,-0.0021130196,-2.4978512e-05,9.616575,88.76871,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26585,0.00016295575,0.0,0.0,50.0
109,69,0,11.0,0.7206291,153.5893,-0.009481916,8.836702e-05,8.865208,88.76871,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
54,119,0,6.0,0.45486036,224.80667,0.033739127,-4.6615947e-05,9.325374,125.96366,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
7,73,0,6.0,2.0601475,141.52866,-0.011435484,-2.9353603e-05,9.200715,88.76871,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656952,8.046446e-05,0.0,0.0,10.0
66,85,0,2.0,0.32055113,90.0,-0.0056707566,9.389865e-05,9.675333,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
