row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
11,8,1,13.0,5.0199585,140.43707,0.006282917,0.00023444749,6.9207063,88.60291,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659132,3.3028165e-05,0.0,0.0,10.0
11,20,1,10.0,3.9179175,234.77567,0.0032766908,0.00021771072,7.169571,368.29587,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658705,4.225716e-05,0.0,0.0,10.0
12,6,1,2.0,4.5434384,135.24687,-0.0043702284,-0.00028043496,8.812668,280.43045,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,3.6446312e-05,0.0,0.0,90.0
14,7,1,5.0,3.74154,301.18204,0.0012688647,-0.00023849537,7.9089184,321.37912,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658619,4.4156135e-05,0.0,0.0,10.0
14,8,1,8.0,4.3548837,287.242,0.00094567606,5.4346387e-05,7.7566123,282.37054,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658905,3.792751e-05,0.0,0.0,10.0
14,9,1,9.0,3.0408309,288.58362,-0.0011968561,0.00018798759,7.423621,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65815,5.4334618e-05,0.0,0.0,10.0
14,26,1,13.0,4.995587,224.75313,0.003069995,0.00051371683,6.925598,368.29587,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659124,3.3142107e-05,0.0,0.0,10.0
16,29,1,11.0,5.22828,222.2646,0.0007298496,0.00055712136,6.879828,282.37054,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659191,3.1698884e-05,0.0,0.0,10.0
19,90,1,2.0,2.3510318,195.81544,-0.016808704,-9.761736e-05,11.370155,0.0,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.57397,7.0817674e-05,0.0,0.0,30.0
20,90,1,8.0,1.2820039,270.0,0.015652996,-3.1277523e-05,8.2881,88.60291,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00012881226,0.0,0.0,90.0
