row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
29,117,0,35.0,5.494738,186.67972,0.0037396327,0.00038977552,6.831873,177.92967,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659264,3.014173e-05,0.0,0.0,10.0
29,114,0,26.0,6.9158487,346.66602,-0.0033386673,-0.0008972352,7.293195,126.10195,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65955,2.3875122e-05,0.0,0.0,10.0
106,119,0,53.0,3.660271,142.25104,-0.0021753958,7.8647034e-05,7.2398376,199.11285,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65857,4.5219556e-05,0.0,0.0,10.0
59,29,0,39.0,4.887292,238.27625,0.016918508,-8.7744316e-05,6.9496684,266.8945,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659096,3.378775e-05,0.0,0.0,10.0
0,30,0,65.0,1.9493449,260.4954,0.020562438,0.00040041085,7.8708572,519.3758,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,10.0
81,24,0,23.0,5.2146616,312.64008,-0.002995302,-0.00022266262,7.577643,88.964836,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659191,3.1698884e-05,0.0,0.0,10.0
68,109,0,51.0,7.302575,331.29895,0.0014155293,0.00046805924,7.238221,126.10195,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659607,2.2621804e-05,0.0,0.0,10.0
30,78,0,36.0,4.0645123,161.64296,0.013006431,0.00023669668,7.1347632,126.10195,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658773,4.077597e-05,0.0,0.0,10.0
46,96,0,14.0,1.4384836,333.53888,-0.0099899,-0.0008484409,8.868084,126.10195,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65536,0.00011521563,0.0,0.0,10.0
56,99,0,32.0,7.289408,293.29297,0.004595838,-0.00017633272,6.5468984,88.964836,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659607,2.2583825e-05,0.0,0.0,10.0
99,65,0,20.0,2.449169,203.10452,-0.044134483,-0.00015441385,10.586818,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65754,6.7665394e-05,0.0,0.0,10.0
22,57,0,58.0,3.2326179,185.68489,0.0015639686,0.00091605354,7.3643823,252.2039,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658293,5.129627e-05,0.0,0.0,10.0
22,75,0,54.0,0.7193552,206.4611,-0.0004994939,0.00082647166,8.868084,282.4843,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
89,19,0,15.0,0.7193552,153.5389,-0.040459078,0.00038241505,9.966696,355.85934,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
85,67,0,28.0,1.7268016,68.10871,-0.0077940174,-0.00026890673,9.378457,126.10195,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656258,9.565623e-05,0.0,0.0,10.0
68,92,0,55.0,3.8715336,4.7421546,0.0032697862,0.00050006,7.1835623,252.2039,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65868,4.2826858e-05,0.0,0.0,10.0
80,116,0,81.0,5.3268013,302.8537,0.0058718454,-0.00035616686,6.8630986,368.3831,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659224,3.0977277e-05,0.0,0.0,10.0
5,96,0,57.0,5.436015,135.1301,0.0039650053,-0.0009895803,7.5358305,321.21725,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659248,3.0407587e-05,0.0,0.0,10.0
67,25,0,41.0,2.275577,171.90623,0.0097692525,0.00093336776,7.7159767,321.7788,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6573,7.286857e-05,0.0,0.0,10.0
70,117,0,37.0,6.416398,275.73642,0.0036788576,2.7123599e-05,6.675687,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659466,2.5660156e-05,0.0,0.0,10.0
