row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
47,93,1,17.0,5.273176,217.31375,-0.00073623104,0.00013005169,6.8709297,88.55003,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6592,3.1433032e-05,0.0,0.0,10.0
58,83,1,11.0,2.900593,83.60159,-0.00265455,-0.00011778195,7.4706216,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658033,5.6879242e-05,0.0,0.0,10.0
71,73,1,18.0,0.91079456,224.73602,0.010928748,0.00042896596,8.6297455,198.37186,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652287,0.00018217335,0.0,0.0,10.0
71,83,1,18.0,1.6486107,191.20883,0.011092279,0.00034346295,8.036182,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
72,34,1,2.0,3.8735256,294.64346,-0.00084876287,-0.000753499,8.279313,88.55003,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.58687,4.267493e-05,0.0,0.0,30.0
72,83,1,17.0,2.2860146,171.94347,0.0037336801,0.0002300903,7.7090507,357.4792,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6573,7.286857e-05,0.0,0.0,10.0
73,83,1,17.0,2.3251097,146.55318,0.0061424286,6.7517e-05,7.6920753,444.2301,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657368,7.146334e-05,0.0,0.0,10.0
76,61,1,5.0,0.718076,296.77682,-0.01774097,-0.00069569016,11.064744,199.47168,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
87,37,1,6.0,5.6767535,312.97263,0.0018238121,-0.0007058344,7.4898796,125.809654,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659306,2.9154262e-05,0.0,0.0,10.0
96,62,1,-1.0,0.0,0.0,0.0,0.0,14.103971,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,0.0,999.0,0.0,0.0,40.0
96,63,1,18.0,6.067749,90.0,0.0044990517,0.0008310027,6.7296557,88.55003,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
97,62,1,18.0,8.588372,224.73602,0.0034511825,0.0009974176,6.3784533,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
97,63,1,-1.0,5.7209473,142.09898,-0.011291057,-0.0008774862,8.580686,125.809654,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7314,6.394341e-05,0.0,0.0,40.0
98,56,1,2.0,7.695791,315.26398,-0.003857204,-0.0003191945,6.489679,320.18405,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
98,59,1,3.0,3.266652,281.4119,-0.0035639824,-0.0004892177,7.3515415,125.809654,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,5.0536677e-05,0.0,0.0,90.0
98,61,1,-1.0,7.0254064,46.58409,0.00293708,-0.0015847402,9.066736,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.62274,0.0001429026,0.0,0.0,40.0
99,55,1,4.0,2.5156968,320.45386,0.0108259,-0.00044537827,7.6131988,280.28012,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7648,3.967456e-05,0.0,0.0,40.0
99,56,1,18.0,5.2055264,259.2843,0.009070881,0.00027617326,6.883914,268.10938,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.62274,0.0001429026,0.0,0.0,40.0
109,35,1,10.0,1.8211292,224.73602,-0.0059611346,0.00012441704,9.035211,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656466,9.109871e-05,0.0,0.0,10.0
110,38,1,5.0,2.6006615,209.51799,-0.0011927787,-0.0006406126,8.273086,88.55003,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.57712,6.394341e-05,0.0,0.0,30.0
114,24,1,2.0,0.32351857,180.0,-0.038803894,3.1881726e-05,9.66488,125.809654,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
116,25,1,4.0,1.8812004,149.26866,-0.006985012,-1.9208064e-05,7.9041224,125.809654,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65659,8.8402165e-05,0.0,0.0,10.0
119,28,1,18.0,5.483075,180.0,0.0035869142,0.0010377706,6.8316665,125.809654,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
119,29,1,1.0,5.918857,202.19487,-0.0056639686,-0.000540794,8.140977,89.3698,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,7.286857e-05,0.0,0.0,90.0
119,30,1,1.0,0.0,0.0,0.0,0.0,12.782214,125.809654,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,0.0,999.0,0.0,0.0,30.0
119,75,1,-2.0,0.91079456,224.73602,-0.0149028385,-0.0004938776,9.322892,88.55003,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
119,78,1,-1.0,1.2938682,0.0,-0.02910292,0.00012743546,8.278585,177.10007,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.54735,0.00012881226,0.0,0.0,30.0
119,80,1,-3.0,3.21844,84.23689,-0.0017006851,-0.00074827246,10.074492,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7314,6.394341e-05,0.0,0.0,40.0
120,75,1,-1.0,1.1589203,236.06583,-0.03785124,0.00016973252,9.081914,125.809654,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.62274,0.0001429026,0.0,0.0,40.0
120,76,1,-1.0,6.700924,270.0,-0.0010854854,-0.0,8.015866,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.583,0.000171767,0.0,0.0,40.0
