row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
29,67,0,1.0,0.9615732,90.0,-0.0037794102,-0.00071961933,11.0617,0.0,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.52766,0.000171767,0.0,0.0,30.0
29,64,0,9.0,4.9045734,148.56113,-0.0029915501,3.4307013e-05,7.6382346,125.97271,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659096,3.378775e-05,0.0,0.0,10.0
106,123,0,25.0,3.7395291,58.86905,-0.0010524706,0.00012972696,7.2173214,320.76053,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658619,4.4156135e-05,0.0,0.0,10.0
58,13,0,-2.0,3.2098448,307.0517,-0.008375441,-9.5759744e-05,10.078483,0.0,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00036432274,0.0,0.0,90.0
0,29,0,7.0,4.163958,112.7545,0.005768207,-0.0005996459,7.1094737,503.89084,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.52287,0.00018217332,0.0,0.0,0.0
79,90,0,18.0,0.64532954,0.0,-0.041684296,6.3422296e-05,9.668801,397.5707,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
67,37,0,7.0,3.215773,143.31154,0.0027987603,0.00059655966,7.3685837,399.1491,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
30,27,0,7.0,0.9615732,90.0,0.0094485255,0.00034416578,8.576793,452.81458,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.583,0.000171767,0.0,0.0,40.0
46,7,0,1.0,1.321962,255.87448,-0.0032314146,-0.00017569744,9.35702,540.1341,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
55,107,0,36.0,0.9615732,90.0,-0.0018897051,6.2575586e-05,8.576793,251.94542,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652765,0.00017176698,0.0,0.0,10.0
98,88,0,1.0,1.2820039,90.0,-0.001417279,-0.0,8.982258,443.90775,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.583,0.000171767,0.0,0.0,40.0
22,15,0,7.0,0.0,0.0,0.0,0.0,11.39723,320.76053,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,999.0,0.0,0.0,90.0
22,33,0,7.0,2.5088177,230.00824,0.011578427,0.00012293365,7.6172514,446.84897,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00023040723,0.0,0.0,90.0
87,101,0,7.0,2.0278647,71.45123,-0.010824432,0.00028549886,7.8303013,199.57455,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656904,8.14899e-05,0.0,0.0,10.0
84,13,0,3.0,0.322675,180.0,0.01667372,-0.0,9.668801,125.97271,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.18508,0.00051513937,0.0,0.0,50.0
67,20,0,7.0,2.599469,7.0785956,0.0068746046,0.00031626123,7.581709,355.1262,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
79,55,0,3.0,3.1573553,65.89677,0.0010173236,-0.00033794792,8.080102,366.19882,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658243,5.235969e-05,0.0,0.0,10.0
5,82,0,17.0,4.5584216,129.47496,0.002386007,0.00025058418,7.71176,177.5631,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65898,3.6294394e-05,0.0,0.0,10.0
111,83,0,3.0,0.90959716,315.18918,-0.009922568,3.1074305e-05,8.632372,282.42664,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652287,0.00018217335,0.0,0.0,10.0
69,41,0,2.0,1.8775796,210.79709,-0.0026772136,5.429419e-05,7.907361,366.19882,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.000115215604,0.0,0.0,90.0
84,30,0,3.0,2.72696,315.18918,0.006284293,-7.621131e-05,7.5337596,198.78535,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00036432274,0.0,0.0,90.0
5,121,0,17.0,4.4518147,239.57861,0.009313087,-0.00071317144,7.0423756,198.78535,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658943,3.7129943e-05,0.0,0.0,10.0
36,11,0,3.0,1.3296849,346.05252,0.003889886,4.025694e-06,8.252581,320.76053,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
99,92,0,1.0,2.0385976,341.67825,-0.003786213,-2.0861893e-05,7.825018,125.97271,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.50076,0.00023040718,0.0,0.0,30.0
5,30,0,1.0,2.152189,243.2833,-0.005218802,3.7044436e-05,7.770746,198.78535,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00016295577,0.0,0.0,90.0
58,110,0,31.0,1.9494545,80.47613,0.00022657981,-3.811466e-05,7.8697667,125.97271,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,10.0
35,123,0,33.0,7.3002195,142.30823,-0.0017887348,-0.00011806988,7.642978,282.42664,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659607,2.2621804e-05,0.0,0.0,10.0
71,121,0,24.0,1.1579795,56.135075,-0.015627304,-6.0527895e-05,8.390889,198.78535,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
110,35,0,7.0,2.0385976,161.67825,0.0016729775,0.00035085774,7.825018,503.89084,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
88,11,0,7.0,1.0196214,198.32175,-0.00088051404,0.00023633052,8.518166,320.76053,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
118,47,0,10.0,0.45482725,315.18918,0.021829652,0.00036295212,9.325519,280.93848,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
89,32,0,7.0,1.935334,180.0,-0.0,0.0004432811,7.877042,280.93848,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0005151393,0.0,0.0,90.0
49,52,0,4.0,1.6444765,11.237388,-0.009313931,1.6137063e-05,9.649444,125.97271,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
39,14,0,3.0,1.0196214,18.321733,-0.0073963213,-0.00012121051,9.616777,446.84897,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.64734,0.00012497634,0.0,0.0,40.0
78,68,0,2.0,2.0569837,51.15548,-0.0017998968,-0.0001870646,7.816032,321.57626,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656952,8.046446e-05,0.0,0.0,10.0
86,102,0,10.0,1.0142499,288.54877,-0.0014313302,2.3664279e-05,8.523449,321.57626,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
110,9,0,4.0,1.1609237,326.48434,0.0044140094,-2.6414162e-05,9.081496,280.93848,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.62274,0.0001429026,0.0,0.0,40.0
14,119,0,22.0,3.749544,69.89506,0.00033155194,0.00013639398,7.214639,320.76053,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658625,4.40422e-05,0.0,0.0,10.0
