row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
6,10,1,2.0,1.9637209,350.6088,-0.0045170984,-6.556852e-05,8.960541,125.90525,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,8.471815e-05,0.9410553,0.0,10.0
12,11,1,9.0,0.9100915,315.2201,0.018862832,0.00017610518,8.631287,251.8105,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,0.00018217335,1.0950807,2.3408566e-05,10.0
26,58,1,-32768.0,89.77988,135.2201,6.0249434e-08,-1.1723712e-07,0.025745587,444.66324,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,6.203262e-08,0.8629954,0.00042662866,40.0
30,22,1,4.0,0.32055113,270.0,-0.039769538,-0.0,11.061158,282.39655,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,0.00051513925,1.0384047,8.832385e-05,40.0
34,74,1,3.0,0.32055113,90.0,0.011362726,-9.389865e-05,9.674864,177.37161,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,0.00051513937,1.5530397,0.00031917405,10.0
36,6,1,4.0,0.6460261,180.0,-0.0,-3.177964e-05,8.974034,365.82745,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.0002576005,0.41494894,0.0,90.0
36,8,1,6.0,1.3220471,75.859825,0.007123095,0.0003082737,8.257802,251.8105,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.00023040723,0.46036023,0.00010395545,90.0
36,67,1,7.0,1.4421104,206.38939,0.007233448,7.06631e-05,8.170842,125.90525,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,5.053667e-05,1.4715141,2.2326374e-05,10.0
37,6,1,4.0,1.291888,180.0,0.0013879781,3.1761465e-05,8.280887,320.52206,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.00012881226,0.41954288,0.00012251218,90.0
37,11,1,1.0,1.4421104,333.61063,-0.009478311,-0.00020425141,8.170842,199.53198,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.000115215604,0.51589596,0.0003028216,90.0
37,14,1,4.0,3.3160708,151.13188,-0.00029154494,-0.00014035929,7.337263,88.68581,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,8.8402165e-05,0.59322214,0.00024219163,90.0
37,15,1,-3.0,0.6460261,0.0,-0.030535521,-0.0005402538,11.371929,0.0,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.00012881226,0.6215297,2.5452716e-06,90.0
37,75,1,3.0,2.72844,224.7799,0.0023164882,-0.00014024883,7.532675,177.37161,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,6.0753133e-05,1.587292,0.0,40.0
38,6,1,4.0,1.3310363,166.06697,0.0038864214,-2.719284e-05,8.251023,280.6662,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.00012497634,0.5466627,2.1490843e-05,90.0
38,9,1,6.0,2.2658317,81.80804,0.004609753,0.00022689487,7.7186975,89.3698,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,0.00036432277,0.4882898,2.4715564e-05,40.0
38,10,1,3.0,0.32302332,180.0,-0.0055519138,-3.178418e-05,9.667181,125.90525,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.00010306219,0.4982927,6.0482682e-05,90.0
38,11,1,5.0,0.9100915,315.2201,-0.007942245,0.0003162757,8.631287,125.90525,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.00018217333,0.5192072,0.00036949097,90.0
38,12,1,5.0,2.9623988,130.81892,-0.0037330955,0.00038332937,7.4502697,89.3698,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,5.592975e-05,0.54170245,0.00015156718,90.0
38,13,1,-1.0,3.2111006,127.08141,0.00015775731,-0.00054228306,8.468112,125.90525,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,8.148991e-05,0.5634961,0.00016877727,90.0
38,14,1,-1.0,0.9100915,315.2201,0.0099278055,-0.0007897295,9.324434,125.90525,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.000115215604,0.5871128,5.8407066e-05,90.0
38,15,1,1.0,3.1823118,315.2201,-0.0034038194,6.230177e-05,8.0716715,89.3698,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,7.286857e-05,0.61387396,4.213964e-05,90.0
38,16,1,6.0,1.7371894,21.65004,0.011590456,0.00012266614,7.984586,125.90525,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,8.046445e-05,0.6439782,0.00035685365,40.0
38,76,1,2.0,2.040579,198.30331,-0.004663184,-0.00030811108,9.432942,125.90525,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,8.14899e-05,1.5825948,0.0,40.0
39,9,1,-1.0,0.9615732,90.0,-0.017044086,-0.00031287794,10.878837,0.0,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.000171767,0.73179454,0.0,90.0
39,10,1,1.0,1.6102704,323.34116,0.0040753027,-8.171267e-05,8.060495,88.68581,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.00010306219,0.73406833,0.0,90.0
39,11,1,3.0,1.0206131,198.30331,0.008446522,0.00022939077,8.516651,88.68581,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,8.8402165e-05,0.7398374,0.0003738,90.0
39,12,1,-2.0,1.6461834,191.22559,-0.011358842,-0.00027326774,10.235651,0.0,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,7.286857e-05,0.7450942,0.00035918673,90.0
39,13,1,-2.0,3.4183884,319.0321,-0.0043834113,-0.00033641423,7.9999514,88.68581,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.00023040723,0.7443831,0.0,90.0
39,14,1,6.0,2.040579,341.69672,0.006422876,0.00043249794,7.8235044,177.37161,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,8.148991e-05,0.72571373,0.0,90.0
39,16,1,4.0,1.2820039,90.0,-0.0014203407,-0.00012511006,8.288569,199.53198,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.0002576005,0.63921034,0.00042129064,90.0
40,7,1,3.0,0.0,0.0,0.0,0.0,11.396689,198.61433,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,999.0,1.0489069,0.00037595184,40.0
40,9,1,3.0,1.3649938,315.2201,-0.0026474153,-6.3521016e-05,8.2258215,89.3698,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,0.000121406265,1.1063823,0.0,40.0
40,12,1,6.0,0.32055113,270.0,0.028406812,0.00028169592,9.674864,89.3698,0.1,0.0,35.0,0.0,0.0,3000.0,0.05,0.0,0.0005151393,1.1227071,0.00010524673,90.0
40,13,1,6.0,1.614706,180.0,0.007772678,0.00012699138,8.057743,125.90525,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,0.00051513925,1.1395932,0.0,40.0
40,14,1,1.0,3.1579227,114.126274,-0.0040640337,6.451306e-05,7.3862333,89.3698,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,0.0001429026,1.0862579,0.0,40.0
41,12,1,-1.0,2.8691618,116.74153,-0.00088515895,1.2046795e-05,7.4823046,177.37161,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,0.000115215626,1.1568369,2.8223405e-05,40.0
41,13,1,-2.0,0.6460261,180.0,-0.02220765,-0.00022245746,9.667181,88.68581,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,0.00025760048,1.2853032,0.0,40.0
41,14,1,-3.0,1.0206131,341.69672,-0.022524059,-0.0003551219,11.224702,0.0,1.4,0.0,35.0,0.0,0.3,3000.0,0.04,0.0,0.00016295575,1.2884549,0.0,40.0
