row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
4,47,1,3.0,0.32055113,270.0,-0.0056651793,-0.0001877973,9.67558,198.84044,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0005151393,0.0,0.0,90.0
5,56,1,3.0,5.1627717,119.899536,0.0009738142,-0.0003045389,7.5868387,89.3698,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,3.200272e-05,0.0,0.0,90.0
5,57,1,1.0,2.3334894,106.04033,-0.0021259305,-0.00051036396,9.076253,125.994446,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7219,7.0817674e-05,0.0,0.0,40.0
5,58,1,1.0,0.717646,63.29129,-0.025240047,-0.0003438441,10.479041,198.84044,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
6,56,1,-5.0,1.1606436,146.47517,-0.025888337,-0.000889811,11.646862,0.0,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00014290263,0.0,0.0,90.0
6,57,1,-2.0,3.4781282,326.4752,-0.0017895158,-0.0006101384,9.369595,88.81239,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65846,4.7650243e-05,0.0,0.0,10.0
8,35,1,2.0,2.3459044,164.14903,-0.023953443,-0.0003048288,10.392696,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7219,7.0817674e-05,0.0,0.0,40.0
15,17,1,6.0,1.1578548,123.855705,0.0032444666,-0.00041160395,9.084319,125.994446,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
16,16,1,4.0,1.6344658,101.37907,-0.0041847,-0.00038409166,10.348874,125.994446,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.56007,0.00010108728,0.0,0.0,30.0
19,12,1,2.0,0.9615732,90.0,-0.018883929,-0.0004693169,10.186405,88.81239,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.52766,0.000171767,0.0,0.0,30.0
21,10,1,10.0,1.4350668,243.2913,-0.0035336067,5.5987355e-05,8.1764555,199.58827,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.55359,0.000115215626,0.0,0.0,30.0
34,110,1,21.0,9.528492,295.85034,0.0016077285,0.0002842179,6.274311,125.994446,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,1.722873e-05,0.0,0.0,90.0
36,19,1,1.0,0.717646,116.708694,-0.018172836,-0.0001510979,11.865335,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
36,106,1,7.0,3.222262,0.0,-0.011119673,-0.00041008578,8.059885,88.81239,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.58281,5.1562114e-05,0.0,0.0,30.0
37,18,1,4.0,1.9609987,189.40437,-0.002199725,-0.00011425885,9.809942,125.994446,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7027,8.471815e-05,0.0,0.0,40.0
40,4,1,5.0,0.72034484,26.42193,-0.0024957396,-3.0033441e-05,8.8658495,281.0262,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
44,47,1,5.0,2.0595274,321.51495,-0.016874531,-0.00036909615,9.424407,125.994446,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656952,8.046446e-05,0.0,0.0,10.0
45,20,1,5.0,0.32256293,0.0,-0.011119673,9.508095e-05,9.669323,125.994446,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
55,15,1,13.0,1.6087947,216.698,0.012448575,0.00018463109,8.062128,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
59,7,1,2.0,3.579964,100.36812,0.00073327136,-0.00023192503,7.2612214,125.994446,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.62274,0.0001429026,0.0,0.0,40.0
59,9,1,1.0,0.45474777,44.820763,-0.01785758,-0.00020373853,12.033918,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
60,7,1,3.0,1.2820039,270.0,-0.0028325897,-0.0004691628,8.289286,198.84044,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.6421,0.00012881226,0.0,0.0,40.0
60,12,1,2.0,1.4350668,296.7087,-0.011610422,-0.00014878777,11.009669,0.0,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.55359,0.000115215626,0.0,0.0,30.0
60,13,1,4.0,1.0193024,18.327673,-0.004932086,-0.00010040061,8.518653,88.81239,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
64,2,1,5.0,2.2567966,180.0,0.00079426233,6.324292e-05,7.723413,125.994446,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7181,7.359017e-05,0.0,0.0,40.0
64,3,1,2.0,0.6451054,180.0,-0.011119673,-0.000253513,10.362471,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.46484,0.00025760048,0.0,0.0,40.0
64,5,1,3.0,1.4350668,63.29129,0.002019204,-0.00023895424,8.869603,198.84044,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.66077,0.000115215626,0.0,0.0,40.0
65,3,1,2.0,0.32256293,180.0,-0.0055598365,-0.00028524286,10.767935,178.7396,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
65,4,1,3.0,0.45474777,224.82077,-0.001984176,4.743911e-05,9.325868,199.58827,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
66,15,1,2.0,1.3219348,255.87918,-0.009688112,-0.00028018063,10.455828,198.84044,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.54912,0.00012497634,0.0,0.0,30.0
67,21,1,5.0,1.2820039,270.0,0.0042488845,6.255503e-05,8.289286,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.6421,0.00012881226,0.0,0.0,40.0
68,10,1,3.0,0.6451054,180.0,-0.008339755,3.1689124e-05,8.976176,88.81239,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.46484,0.00025760048,0.0,0.0,40.0
68,32,1,8.0,1.3292501,193.95215,0.0023822458,-5.602055e-05,8.253082,199.58827,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.64734,0.00012497634,0.0,0.0,40.0
70,6,1,2.0,0.45474777,135.17923,-0.013889229,-0.00017342449,9.325868,282.43634,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00036432274,0.0,0.0,90.0
70,7,1,1.0,0.32256293,0.0,-0.011119673,-0.00015846823,11.055617,268.10938,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
70,21,1,3.0,0.90943825,44.820763,-0.017857581,9.444747e-05,9.325868,282.43634,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
71,5,1,2.0,1.4404621,206.42194,-0.0067384955,-0.0001774549,9.558996,251.98889,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.000115215604,0.0,0.0,90.0
71,6,1,2.0,0.45474777,224.82077,-0.007936701,-0.00012677112,9.325868,199.58827,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
71,7,1,1.0,0.45474777,315.17923,-0.009920877,-7.972612e-05,10.712162,178.7396,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
71,21,1,3.0,0.72034484,333.57806,-0.013476992,-5.0830553e-05,9.558996,199.58827,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
77,101,1,5.0,0.32256293,0.0,0.01667951,-6.33873e-05,9.669323,178.7396,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
78,8,1,3.0,0.6451054,180.0,-0.008339755,-0.0,10.362471,198.84044,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.46484,0.00025760048,0.0,0.0,40.0
79,8,1,3.0,0.717646,296.7087,0.0020192042,-0.00018372499,9.56275,251.98889,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
80,7,1,3.0,0.6451054,0.0,-0.008339755,-0.00022182387,8.976176,282.43634,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.46484,0.00025760048,0.0,0.0,40.0
80,25,1,6.0,1.9346625,180.0,0.0018532788,-0.00034805082,8.570711,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.70123,8.5857544e-05,0.0,0.0,40.0
80,99,1,6.0,2.1601243,153.57806,0.004825096,6.865717e-05,7.7672367,125.994446,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7136,7.681843e-05,0.0,0.0,40.0
81,26,1,5.0,0.0,0.0,0.0,0.0,14.893912,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,0.0,999.0,0.0,0.0,40.0
82,8,1,4.0,0.45474777,44.820763,0.0019841779,-0.00023680393,9.325868,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
82,26,1,7.0,2.2427351,270.0,-0.0008093113,-0.00018737488,7.7296696,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7181,7.359017e-05,0.0,0.0,40.0
82,36,1,5.0,0.32256293,180.0,-0.022239346,-6.33873e-05,9.669323,268.10938,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
83,102,1,4.0,0.967607,0.0,-0.011119674,-0.00022177116,9.669323,268.10938,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.583,0.000171767,0.0,0.0,40.0
88,25,1,6.0,0.45474777,44.820763,-0.02182593,-0.00042578197,9.325868,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
88,56,1,20.0,7.291345,113.32866,0.006428063,-5.952726e-05,6.5457697,177.62479,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.59608,2.2583821e-05,0.0,0.0,30.0
89,2,1,7.0,1.6344658,258.62094,4.2700944e-05,-0.00015792476,8.739436,399.17654,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.68024,0.00010108728,0.0,0.0,40.0
89,24,1,9.0,4.113746,218.48508,-0.0012053236,-0.00019664515,7.814969,88.81239,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.764,4.028223e-05,0.0,0.0,40.0
89,25,1,5.0,1.735052,201.67809,0.0040690047,-0.00047046755,10.551483,0.0,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,9.565622e-05,0.0,0.0,90.0
90,2,1,11.0,1.3640143,224.82077,0.008598095,0.00014064444,8.227256,480.85815,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655073,0.00012140628,0.0,0.0,10.0
90,25,1,8.0,2.9182148,186.30098,0.0044336533,-0.00035417048,7.466039,89.3698,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,5.687923e-05,0.0,0.0,90.0
90,26,1,5.0,0.45474777,44.820763,-0.025794284,-0.00020689382,9.325868,89.3698,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00036432274,0.0,0.0,90.0
90,27,1,9.0,1.0193024,341.67233,0.011273339,-7.494215e-05,8.518653,125.994446,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
91,25,1,6.0,2.766833,144.6317,0.001898501,-0.00040688177,7.5193954,88.81239,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,5.991759e-05,0.0,0.0,90.0
91,51,1,10.0,2.578788,180.0,0.0027799187,3.159896e-05,7.5898814,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7307,6.443715e-05,0.0,0.0,40.0
92,25,1,3.0,0.90943825,224.82077,-0.0406756,-0.00020527645,11.271778,0.0,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00018217333,0.0,0.0,90.0
92,26,1,4.0,2.056703,308.8348,-0.003598768,-0.0003740079,8.50949,88.81239,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,8.046445e-05,0.0,0.0,90.0
95,4,1,4.0,1.6124059,180.0,-0.0066718045,-0.00012663008,8.753033,88.81239,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.67755,0.0001030622,0.0,0.0,40.0
103,5,1,2.0,0.90943825,135.17923,-0.011905054,-0.00025150288,11.340771,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
104,7,1,1.0,1.6059803,232.95789,-0.0035561856,-0.00015091957,9.855639,177.62479,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00010306219,0.0,0.0,90.0
104,8,1,1.0,0.6410822,270.0,-0.014162948,-0.00015647573,9.67558,125.994446,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0002576005,0.0,0.0,90.0
105,7,1,5.0,1.8715842,238.87787,0.0064543625,-5.352966e-05,9.009348,198.84044,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,8.8402165e-05,0.0,0.0,90.0
105,8,1,3.0,1.0193024,198.32768,0.008983443,-0.0002559803,8.518653,125.994446,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00016295577,0.0,0.0,90.0
109,8,1,2.0,0.967607,180.0,-0.005559837,-0.00044354232,11.51515,0.0,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.000171767,0.0,0.0,90.0
109,9,1,3.0,1.6124059,0.0,-0.0055598365,-0.00022160262,10.139327,88.81239,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00010306219,0.0,0.0,90.0
120,2,1,2.0,1.2900473,180.0,-0.0013899591,-0.000506737,9.381641,125.994446,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.6421,0.00012881226,0.0,0.0,40.0
120,33,1,4.0,0.45474777,315.17923,-0.02381011,-0.00031141166,9.325868,198.84044,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00036432274,0.0,0.0,90.0
120,34,1,4.0,0.32055113,270.0,-0.0,-0.00025039638,9.67558,178.7396,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0005151393,0.0,0.0,90.0
120,44,1,3.0,0.90943825,224.82077,-0.015873404,-0.0001259546,11.964925,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
121,2,1,2.0,0.967607,180.0,-0.005559837,-0.00028513436,10.362471,88.81239,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.583,0.000171767,0.0,0.0,40.0
121,3,1,2.0,0.90943825,44.820763,-0.011905054,-0.00012634612,11.57716,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
121,34,1,4.0,2.900487,263.62036,0.0018001341,-0.0005266031,7.472143,266.43716,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,5.687923e-05,0.0,0.0,90.0
122,1,1,3.0,1.1606436,213.52483,-0.019684676,2.1999916e-05,9.998203,198.84044,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.62274,0.0001429026,0.0,0.0,40.0
122,2,1,2.0,1.0142143,251.45724,-0.0126955705,-0.0002474053,10.6031,125.994446,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00016295577,0.0,0.0,90.0
