row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
28,53,0,12.0,0.9103358,135.23535,0.0029791163,0.00023791175,8.630751,177.27715,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26144,0.00018217333,0.0,0.0,50.0
28,50,0,13.0,1.3653601,224.76465,0.00794431,0.0001881771,8.225286,88.63857,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.275375,0.000121406265,0.0,0.0,50.0
115,76,0,9.0,0.9103358,224.76465,-0.0029791174,0.0001448154,8.630751,251.74397,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26144,0.00018217333,0.0,0.0,50.0
56,61,0,7.0,0.45519665,44.76464,-0.0019860785,0.00017382344,9.323898,198.52997,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.21967,0.0003643227,0.0,0.0,50.0
0,32,0,4.0,0.0,0.0,0.0,0.0,11.396421,377.61597,1.7,0.0,35.0,0.033835303,0.01,3000.0,0.1,0.0,999.0,0.0,0.0,10.0
79,54,0,8.0,0.71793056,63.246197,0.0015185408,7.69305e-05,8.868223,198.52997,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
65,111,0,1.0,0.32055113,90.0,-0.09099871,-0.0004381937,12.970433,0.0,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.57303,7.286856e-05,0.0,0.0,30.0
28,123,0,14.0,6.040894,205.02026,0.0058188066,0.0003896593,6.7346263,88.63857,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659384,2.7445187e-05,0.0,0.0,10.0
44,124,0,3.0,1.9647386,170.61371,-0.0067106495,-0.00021178261,9.652902,89.3698,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.56757,8.471815e-05,0.0,0.0,0.0
54,47,0,8.0,0.64637035,0.0,-0.0055489554,6.362701e-05,8.973233,320.40445,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
96,91,0,9.0,0.9103358,224.76465,0.0089373505,-4.80905e-05,8.630751,251.74397,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26144,0.00018217333,0.0,0.0,50.0
20,101,0,23.0,3.4522362,291.96423,0.0011976922,0.00011595779,7.29666,357.4792,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.29226,4.7840134e-05,0.0,0.0,50.0
20,116,0,5.0,0.45519665,44.76464,-0.08341528,-0.0007310482,12.725096,0.0,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.21967,0.0003643227,0.0,0.0,50.0
106,4,0,7.0,0.7214778,206.37724,-0.004987501,-3.2125787e-05,8.863295,198.52997,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
83,70,0,7.0,0.7214778,26.377226,-2.2238232e-10,3.1293577e-05,8.863295,251.74397,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
65,99,0,9.0,0.9695041,180.0,0.0018496516,-0.00012722368,8.567768,280.53186,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26383,0.00017176695,0.0,0.0,50.0
108,41,0,5.0,0.32055113,270.0,0.017062258,6.25991e-05,9.674597,198.52997,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
5,25,0,10.0,0.6410822,90.0,-0.0,-0.00012518057,8.981449,199.511,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.24413,0.00025760045,0.0,0.0,50.0
63,123,0,8.0,0.9103358,44.76464,0.0009930383,8.2241335e-05,8.630751,251.74397,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26144,0.00018217333,0.0,0.0,50.0
68,53,0,3.0,0.71793056,243.2462,0.0010123613,-0.00010708219,10.947665,0.0,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
83,83,0,9.0,0.71793056,63.246197,0.0050618043,9.46095e-05,8.868223,251.74397,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
5,62,0,12.0,1.6071231,307.0961,0.0030664823,0.00010268582,8.062185,178.7396,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.279594,0.00010306221,0.0,0.0,50.0
35,34,0,8.0,2.5986974,29.54253,5.5883636,0.7869404,7.5811973,199.511,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28856,6.39434e-05,0.0,0.0,50.0
97,82,0,1.0,0.6410822,90.0,-0.025593389,-0.00018777087,11.620506,0.0,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.48827,0.00025760048,0.0,0.0,30.0
4,99,0,12.0,2.2427351,90.0,-0.004062442,-0.00015614572,7.7286863,89.3698,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28634,7.3590185e-05,0.0,0.0,50.0
57,38,0,6.0,0.6410822,90.0,-0.0056874193,-0.0,9.674597,178.7396,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.24413,0.00025760045,0.0,0.0,50.0
35,2,0,2.0,1.9495406,279.53894,-0.005151707,-0.00042225604,9.478352,251.74397,0.3,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,95.0
108,42,0,4.0,0.6410822,270.0,-0.0056874193,-6.259028e-05,10.3677435,125.87199,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
96,71,0,6.0,1.647027,348.78024,0.008420846,-2.247915e-05,8.037646,177.27715,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28004,0.00010108727,0.0,0.0,50.0
87,29,0,6.0,0.32319546,180.0,0.0055489554,-0.00012727226,10.359529,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
108,32,0,1.0,0.32055113,270.0,0.011374839,-0.00025039638,9.674597,89.3698,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.37016,0.00051513925,0.0,0.0,30.0
88,44,0,5.0,1.6108224,216.64423,1.479747,2.024795,8.059885,198.52997,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.279594,0.00010306221,0.0,0.0,50.0
48,39,0,9.0,0.45519665,135.23535,0.015888628,-0.00018985392,9.323898,198.52997,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.21967,0.0003643227,0.0,0.0,50.0
38,37,0,10.0,0.32319546,0.0,-0.0,0.00015909031,9.666381,177.27715,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.18508,0.00051513937,0.0,0.0,50.0
78,46,0,12.0,1.1622254,146.52684,0.00047712302,0.00033805275,8.386419,125.87199,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.270454,0.00014290263,0.0,0.0,50.0
109,98,0,13.0,0.6410822,270.0,0.019905968,0.00037554174,8.981449,199.511,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
86,29,0,6.0,0.32055113,270.0,-0.017062258,6.2599094e-05,10.3677435,178.7396,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.18508,0.00051513937,0.0,0.0,50.0
13,102,0,13.0,1.922605,90.0,-0.00094790314,-6.249636e-05,9.674597,89.3698,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28353,8.585753e-05,0.0,0.0,50.0
103,93,0,7.0,0.0,0.0,0.0,0.0,12.495034,177.27715,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,0.0,999.0,0.0,0.0,50.0
88,56,0,5.0,0.9103358,224.76465,-0.003972156,-0.00012671603,9.729363,198.52997,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26144,0.00018217333,0.0,0.0,50.0
18,61,0,11.0,0.71793056,296.7538,0.010629788,8.8996654e-05,8.868223,177.27715,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
68,100,0,7.0,1.0211034,341.7058,-0.005628902,-2.4347144e-05,9.902198,177.27715,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
54,74,0,7.0,2.0620005,38.430397,8.5359796e-05,-0.00015978618,8.911397,177.27715,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28476,8.0464444e-05,0.0,0.0,50.0
54,39,0,9.0,0.71793056,116.7538,0.002024722,-5.717772e-05,8.868223,89.3698,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
