row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
28,64,0,35.0,3.3878624,196.47069,0.008008439,-1.7827062e-06,7.3123264,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65838,4.9397288e-05,0.0,0.0,10.0
104,109,0,26.0,6.445051,342.71292,0.8331904,0.9450287,6.666149,176.152,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659456,2.5888035e-05,0.0,0.0,10.0
8,101,0,11.0,5.549103,353.38644,0.0034100595,0.00023800298,6.816922,197.52591,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659264,3.014173e-05,0.0,0.0,10.0
46,82,0,41.0,0.3252598,180.0,0.04410989,6.445163e-05,9.656812,320.79926,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
72,54,0,14.0,1.0269835,161.81425,0.003152054,8.872575e-06,8.506959,197.52591,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
41,116,0,28.0,6.771681,109.55205,0.0059776567,8.57315e-05,6.616271,125.476456,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65953,2.433088e-05,0.0,0.0,10.0
14,53,0,30.0,1.1608671,124.07676,0.016609095,-0.00024158391,8.384388,125.476456,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.270454,0.00014290263,0.0,0.0,50.0
46,95,0,19.0,3.6212568,333.7677,0.0001989792,0.00017969072,8.344151,197.52591,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658527,4.613106e-05,0.0,0.0,10.0
52,82,0,28.0,1.3697618,135.41774,-0.0033203226,-1.0794788e-05,8.218864,88.076,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.275375,0.000121406265,0.0,0.0,50.0
44,75,0,28.0,6.6371937,321.31445,-0.00074653496,0.000117624855,7.329663,178.7396,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.2975,2.4976525e-05,0.0,0.0,50.0
0,38,0,30.0,0.97569555,180.0,-0.007351648,0.00022549351,8.5582,278.9326,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.52766,0.000171767,0.0,0.0,30.0
58,93,0,31.0,3.0338101,302.3821,-0.0033947295,-1.6156107e-05,8.809232,282.20563,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658138,5.463845e-05,0.0,0.0,10.0
84,86,0,-32768.0,89.78066,44.58137,6.092343e-08,-1.1681285e-07,0.52952725,543.40405,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60643,6.203262e-08,0.0,0.0,30.0
6,26,0,34.0,1.0269835,161.81425,0.006829451,3.684051e-05,9.893253,250.95291,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
19,107,0,15.0,4.0235143,118.963066,0.0009159617,-0.00035094036,7.8330374,88.076,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658756,4.115576e-05,0.0,0.0,10.0
2,17,0,31.0,2.0295131,288.68707,-0.0019041882,3.518411e-05,7.8254776,88.076,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656904,8.14899e-05,0.0,0.0,10.0
56,112,0,16.0,3.536571,84.72969,0.0074694627,-7.3560885e-05,7.2692633,250.95291,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658504,4.666277e-05,0.0,0.0,10.0
19,73,0,30.0,3.3081272,60.58933,0.008905944,0.00034713236,7.3361974,125.476456,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658348,5.0080926e-05,0.0,0.0,10.0
70,61,0,17.0,0.32055113,270.0,0.011520615,0.0001877973,9.671395,178.7396,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.37016,0.00051513925,0.0,0.0,30.0
45,77,0,39.0,0.71886206,243.09927,0.007149476,0.0001625168,8.863725,319.00513,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
124,94,0,-32768.0,0.0,0.0,0.0,0.0,11.39322,1965.4994,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,0.0,999.0,0.0,0.0,0.0
91,104,0,38.0,2.9248264,0.0,0.0012252748,-0.0002247111,7.4595876,88.076,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65802,5.7221052e-05,0.0,0.0,10.0
32,95,0,18.0,5.518968,100.151955,0.0023158977,-0.00018340946,6.8224015,125.476456,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659275,2.9875873e-05,0.0,0.0,10.0
73,84,0,13.0,4.271995,103.17888,8.4705054e-05,-0.00041072443,8.178368,250.95291,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65887,3.8649116e-05,0.0,0.0,10.0
5,41,0,29.0,1.9508255,180.0,-0.0,-3.2171363e-05,8.5582,125.476456,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656706,8.5857544e-05,0.0,0.0,10.0
36,84,0,24.0,4.3328056,312.40298,-0.010736032,-0.00014381537,9.145009,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658886,3.834528e-05,0.0,0.0,10.0
30,123,0,39.0,4.6622357,73.83253,0.0067253807,0.00011878616,6.9919863,352.304,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65902,3.542087e-05,0.0,0.0,10.0
98,121,0,27.0,3.3081272,299.41068,-0.01598369,-0.00028265937,9.901147,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658348,5.0080926e-05,0.0,0.0,10.0
18,77,0,30.0,2.3640401,15.726052,-0.008186214,-0.00013861425,8.365899,197.52591,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657396,7.0817674e-05,0.0,0.0,10.0
32,39,0,9.0,1.9498833,80.401245,-0.0007669086,-0.00022575882,11.449055,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,10.0
56,36,0,-32768.0,89.780655,44.580498,6.0926176e-08,-1.168181e-07,0.306446,398.52338,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60643,6.203262e-08,0.0,0.0,30.0
35,85,0,31.0,5.0245757,310.217,0.008958933,-0.00026616818,6.916783,125.476456,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659132,3.3028165e-05,0.0,0.0,10.0
5,40,0,32.0,1.6571445,191.15034,0.003915926,0.00014064649,8.0283165,197.52591,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
43,85,0,18.0,3.6701837,231.71939,-0.0059625027,-0.00043331907,8.618375,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65857,4.5219556e-05,0.0,0.0,10.0
