row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
22,43,0,33.0,1.9815199,189.30603,0.0065344735,0.0005403723,7.848232,175.7341,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,10.0
22,41,0,31.0,2.9317694,0.0,-0.0036671045,0.00016126923,7.4560156,263.60117,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65802,5.7221052e-05,0.0,0.0,10.0
99,88,0,36.0,7.445021,79.968864,0.00011446029,-0.00028501565,7.212446,125.32988,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659634,2.2052114e-05,0.0,0.0,10.0
45,60,0,39.0,0.4572158,224.51422,0.051855672,-9.7554024e-05,9.315073,278.33887,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.21967,0.0003643227,0.0,0.0,50.0
0,29,0,26.0,5.1561923,262.75443,-0.0019091455,9.981208e-05,9.192177,318.4861,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659178,3.200272e-05,0.0,0.0,10.0
107,60,0,21.0,1.3714145,224.51422,-0.00864261,0.0006262388,8.216461,125.32988,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655073,0.00012140628,0.0,0.0,10.0
53,44,0,24.0,5.021851,243.04434,-0.0011711065,0.00019775615,7.609278,125.32988,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659134,3.2914224e-05,0.0,0.0,10.0
22,102,0,17.0,4.5548944,0.0,-0.0027503285,-0.00038489987,8.623621,87.86705,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658957,3.6826106e-05,0.0,0.0,10.0
35,59,0,39.0,1.342719,13.809332,0.021644771,-3.4552013e-05,8.237616,125.32988,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
43,71,0,58.0,1.6351535,281.49826,0.005707634,0.00049917673,8.040486,263.60117,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
84,115,0,77.0,2.9819126,139.87814,0.005750779,-8.3357976e-05,7.4390264,268.10938,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.58081,5.5929744e-05,0.0,0.0,30.0
16,78,0,25.0,2.6159625,330.67184,-0.00088204606,-0.00085181685,8.66878,87.86705,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657711,6.394341e-05,0.0,0.0,10.0
16,90,0,30.0,4.1927466,122.91284,0.0013120788,9.40999e-05,7.0973516,125.32988,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65883,3.9560622e-05,0.0,0.0,10.0
73,120,0,34.0,8.367888,332.84372,0.0060192384,-0.00036929126,7.0940948,398.33884,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659733,1.988729e-05,0.0,0.0,10.0
69,108,0,16.0,5.832071,80.378845,0.0051360466,0.00036339829,6.765661,394.30667,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65935,2.8242763e-05,0.0,0.0,10.0
53,34,0,15.0,4.062757,331.7961,-0.0029360459,-0.00014010842,8.227568,263.60117,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658756,4.115576e-05,0.0,0.0,10.0
65,49,0,30.0,1.6122684,307.33737,-0.0003636213,-0.0005137133,8.054588,351.4682,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
4,30,0,40.0,3.0358775,122.44366,0.012086967,5.9209528e-05,7.4210577,250.65976,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658138,5.463845e-05,0.0,0.0,10.0
51,101,0,55.0,5.252171,137.97314,0.013597232,-0.00027075983,7.564194,125.32988,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659191,3.1698884e-05,0.0,0.0,10.0
96,114,0,42.0,2.9491804,353.76556,-0.029382749,-0.00018010408,11.061002,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658033,5.6879242e-05,0.0,0.0,10.0
70,38,0,12.0,1.3039218,0.0,0.002750328,0.00016177837,8.266946,125.32988,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.54735,0.00012881226,0.0,0.0,30.0
4,58,0,33.0,3.198918,336.39606,-0.012987217,3.7515395e-06,10.259014,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658243,5.235969e-05,0.0,0.0,10.0
27,58,0,48.0,4.3073673,296.95566,0.0029033686,0.00063078967,7.0702815,282.1405,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658884,3.8383256e-05,0.0,0.0,10.0
86,41,0,-32768.0,0.0,0.0,0.0,0.0,11.392023,725.30505,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,0.0,999.0,0.0,0.0,30.0
3,111,0,88.0,3.043422,108.72841,-0.0018815064,6.521831e-05,8.804866,268.10938,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.58151,5.4334614e-05,0.0,0.0,30.0
46,29,0,10.0,0.9143734,315.48578,0.007977794,6.2614716e-05,8.621926,197.15334,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652287,0.00018217335,0.0,0.0,10.0
