row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
77,94,1,123.0,10.936536,79.87343,0.0064214724,0.0013105074,6.1306205,368.22348,0.2,0.0,35.0,0.033835303,1.0,3000.0,0.02,1765.9958,1.4949962e-05,0.0,0.0,60.0
102,48,1,150.0,12.447131,212.15993,0.013472365,0.0014720006,5.9975815,251.26973,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660038,1.3202911e-05,0.0,0.0,10.0
58,122,0,44.0,3.267012,78.55682,-0.0071226014,-0.00035358977,10.122607,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658325,5.053667e-05,0.0,0.0,10.0
112,29,0,61.0,3.3799245,16.510561,0.00806783,0.00021406848,7.3159647,264.90457,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65838,4.9397288e-05,0.0,0.0,10.0
41,39,0,38.0,2.519904,219.46709,-0.003120207,-0.00012263967,8.30326,125.634865,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657618,6.595632e-05,0.0,0.0,10.0
60,74,0,55.0,7.0462475,264.7431,-0.0006058561,-0.00032679513,8.3691845,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659575,2.3343413e-05,0.0,0.0,10.0
72,23,0,85.0,7.443925,99.98277,-0.0026380566,-4.129877e-05,7.6205444,376.9046,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659634,2.2052114e-05,0.0,0.0,10.0
60,119,0,58.0,1.4471465,206.29045,0.029878337,0.0002648536,8.165173,197.92827,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65536,0.00011521563,0.0,0.0,10.0
49,63,0,83.0,7.3953743,82.479706,0.0002005704,0.00013095845,6.528549,251.26973,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659624,2.2242011e-05,0.0,0.0,10.0
22,71,0,36.0,2.6715307,13.874982,-0.0035168559,-0.00043605256,9.343362,279.5736,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657778,6.250019e-05,0.0,0.0,10.0
