row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
115,53,0,9.0,1.7344159,338.31357,-0.0074974163,-0.000118957956,8.680261,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656258,9.565623e-05,0.0,0.0,10.0
26,46,0,9.0,0.9615732,90.0,-0.0018867888,-0.00025030234,8.577181,126.02106,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652765,0.00017176698,0.0,0.0,10.0
101,113,0,11.0,2.0277066,71.46457,8.9341076e-05,-9.725046e-05,7.8307667,88.850136,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656904,8.14899e-05,0.0,0.0,10.0
52,15,0,10.0,0.32055113,270.0,0.011320734,0.00015649774,9.675793,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
0,27,0,10.0,0.7175845,296.69894,-0.012108048,2.4972887e-05,9.968514,88.850136,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.50076,0.00023040718,0.0,0.0,0.0
73,25,0,7.0,0.45465055,224.83295,0.009918809,1.702863e-05,9.326295,88.850136,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
60,72,0,13.0,0.7200994,153.56836,-0.0004992341,0.000101255464,8.866403,198.90788,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
27,0,0,6.0,1.9338412,0.0,-0.0018540663,0.00031614158,8.571348,320.9314,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.56706,8.5857544e-05,0.0,0.0,0.0
41,21,0,10.0,0.7200994,26.431631,0.0009984681,-7.5868e-05,8.866403,126.02106,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
50,6,0,6.0,0.9615732,90.0,10.0,6.2575586e-05,8.577181,126.02106,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652765,0.00017176698,0.0,0.0,10.0
92,104,0,16.0,0.9092439,135.16705,0.009918808,9.479062e-05,8.633147,177.70027,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652287,0.00018217335,0.0,0.0,10.0
19,103,0,13.0,0.3224259,180.0,-0.011124399,-9.500018e-05,9.669961,126.02106,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
19,118,0,12.0,0.3224259,180.0,-0.0166866,-0.0001266669,10.768573,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
81,81,0,14.0,2.0277066,71.46457,0.009470144,0.00016851435,7.8307667,126.02106,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656904,8.14899e-05,0.0,0.0,10.0
77,102,0,14.0,1.3637228,44.832935,0.0006612537,-4.773663e-05,8.227682,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655073,0.00012140628,0.0,0.0,10.0
60,58,0,4.0,0.45465055,135.16705,0.0059512863,-0.0002037112,10.424907,199.60507,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.21967,0.0003643227,0.0,0.0,50.0
72,107,0,8.0,1.6117213,180.0,-0.010011959,-0.0003795679,11.31862,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
5,10,0,10.0,0.0,0.0,0.0,0.0,11.397618,199.60507,1.7,0.0,35.0,0.033835303,0.01,3000.0,0.1,0.0,999.0,0.0,0.0,10.0
58,122,0,17.0,1.1603011,33.536026,0.004294993,0.00013313674,9.08242,177.70027,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
62,79,0,15.0,0.6410822,90.0,0.0141509175,3.129514e-05,8.982646,252.04211,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
77,116,0,15.0,0.32055113,270.0,0.016981103,-3.1299547e-05,10.36894,198.90788,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
5,45,0,11.0,1.0189122,18.334942,-0.009338523,7.251774e-05,9.617861,198.90788,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
32,28,0,11.0,0.9092439,224.83295,0.014878213,-0.0002673267,8.633147,198.90788,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652287,0.00018217335,0.0,0.0,10.0
93,119,0,15.0,0.9615732,90.0,-0.0056603663,-0.00018772678,9.963475,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652765,0.00017176698,0.0,0.0,10.0
4,88,0,12.0,0.3224259,0.0,-0.022248797,6.333345e-05,10.363108,198.90788,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
52,104,0,16.0,0.7175845,296.69894,0.013621555,4.9956077e-05,8.869902,199.60507,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
32,17,0,10.0,0.3224259,0.0,-0.0055621993,-6.333345e-05,9.669961,199.60507,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
65,70,0,14.0,0.45465055,315.16705,0.037691474,4.7049052e-05,9.326295,199.60507,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
92,84,0,11.0,0.32055113,270.0,-0.005660367,-6.2599094e-05,9.675793,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
122,94,0,16.0,0.6448314,0.0,0.0027810996,-0.0,8.976813,252.04211,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
14,52,0,12.0,0.45465055,135.16705,0.015870094,6.406912e-05,9.326295,177.70027,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
83,12,0,6.0,0.45465055,44.83293,-0.003967524,9.4076706e-05,9.326295,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
123,57,0,11.0,0.0,0.0,0.0,0.0,12.49623,198.90788,1.7,0.0,35.0,0.033835303,0.01,3000.0,0.1,0.0,999.0,0.0,0.0,10.0
34,117,0,14.0,2.4518406,336.92215,0.0053914506,0.00011570768,8.333787,177.70027,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65754,6.7665394e-05,0.0,0.0,10.0
71,118,0,14.0,0.3224259,0.0,-0.022248797,-9.500018e-05,11.056255,88.850136,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
80,81,0,15.0,1.0189122,341.66507,0.014448283,0.0002463036,8.519249,199.60507,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
80,99,0,17.0,1.6432561,348.75415,0.006423454,9.8412645e-05,8.041136,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
13,55,0,6.0,0.32055113,90.0,-0.0509433,-0.0001877973,11.062087,88.850136,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
101,92,0,13.0,1.3219013,104.11506,-0.0023394828,-0.00013408119,9.868279,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
83,30,0,6.0,0.96719605,0.0,-0.0037081325,6.330939e-05,8.571348,198.90788,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652765,0.00017176698,0.0,0.0,10.0
17,83,0,13.0,1.1603011,326.464,0.009425125,-0.00016022979,8.389274,126.02106,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
63,6,0,7.0,2.7608342,54.30414,-6.083152,1.326864,7.5217824,282.4482,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657896,5.9917587e-05,0.0,0.0,10.0
50,33,0,11.0,0.7175845,243.30106,0.007063029,-0.0001193692,8.869902,198.90788,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
49,116,0,15.0,2.0277066,251.46458,-0.001161433,9.801014e-06,7.8307667,126.02106,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656904,8.14899e-05,0.0,0.0,10.0
109,60,0,12.0,1.0141708,108.535416,0.0039310036,-6.882169e-05,8.523914,126.02106,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
99,62,0,11.0,1.2894995,180.0,-0.0055621993,-0.00012657672,8.976814,88.850136,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654736,0.00012881226,0.0,0.0,10.0
43,106,0,16.0,0.32055113,270.0,0.016981103,-0.0,9.675793,126.02106,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
114,31,0,5.0,89.779686,44.83119,0.009918682,2.899258e-08,-1.0710695,198.90788,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660643,6.2032626e-08,0.0,0.0,10.0
57,88,0,11.0,1.6344388,78.62563,-0.0072533656,1.6938047e-05,8.046519,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
92,27,0,11.0,2.656009,193.95784,1.3086296,0.97476506,7.5605483,177.70027,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
30,42,0,11.0,0.6410822,90.0,-0.008490551,-3.129514e-05,8.982646,252.04211,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
0,19,0,9.0,0.7175845,116.69894,-0.0060540247,0.00013766106,8.869902,199.60507,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.50076,0.00023040718,0.0,0.0,0.0
92,61,0,13.0,1.0141708,251.46458,0.011793011,0.00010676508,8.523914,198.90788,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
14,105,0,9.0,1.0141708,108.535416,-0.018582927,-0.0003646283,11.088863,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
11,29,0,8.0,1.0189122,161.66505,-0.0061669503,-4.6435103e-05,10.716474,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
35,109,0,17.0,0.3224259,180.0,0.050059795,0.00022166707,9.669961,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
2,104,0,14.0,1.3287183,166.04216,-0.001350413,-3.1621348e-05,8.946843,88.850136,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
87,44,0,8.0,1.2894995,0.0,-0.0013905498,-0.0,8.976814,198.90788,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654736,0.00012881226,0.0,0.0,10.0
23,114,0,16.0,0.7200994,206.43164,-0.0029954042,0.00010096108,8.866403,126.02106,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
15,67,0,10.0,1.0189122,18.334942,-0.0070479433,-0.00018903989,9.617861,126.02106,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
19,78,0,9.0,1.3287183,13.957826,-0.006196013,-0.00017136072,10.3331375,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
97,124,0,13.0,3.283813,348.75415,-0.000188925,-0.00052382966,7.3479886,88.850136,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.58327,5.053667e-05,0.0,0.0,0.0
52,68,0,11.0,1.0189122,18.334942,-0.0017619852,3.2056567e-05,9.212396,199.60507,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26585,0.00016295575,0.0,0.0,50.0
35,24,0,10.0,0.45465055,135.16705,0.011902571,3.1117685e-05,9.326295,177.70027,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
