row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
25,93,0,15.0,4.3874145,16.95842,0.003111944,0.0002321081,7.055805,198.40681,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658905,3.792751e-05,0.0,0.0,10.0
25,90,0,4.0,2.8699234,116.77172,-0.010641307,-0.00035525844,10.0463295,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659254,3.0331626e-05,0.0,0.0,10.0
101,39,0,11.0,1.8209264,44.742344,0.0024835384,0.00014107313,7.9368205,125.82343,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656466,9.109871e-05,0.0,0.0,10.0
53,86,0,11.0,5.225293,227.23279,0.0043273508,1.4956137e-05,6.8802137,320.23276,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659191,3.1698884e-05,0.0,0.0,10.0
0,24,0,9.0,1.1628549,326.54736,-0.012404367,2.6416306e-05,10.464929,0.0,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.54091,0.00014290262,0.0,0.0,0.0
76,48,0,10.0,0.6468736,180.0,-0.005544638,-9.5589196e-05,11.051506,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
63,65,0,11.0,0.9106931,135.25766,-0.007947324,6.143225e-05,9.323114,251.64687,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652287,0.00018217335,0.0,0.0,10.0
26,37,0,11.0,0.0,0.0,0.0,0.0,12.089178,282.36008,1.7,0.0,35.0,0.033835303,0.01,3000.0,0.1,0.0,999.0,0.0,0.0,10.0
41,121,0,8.0,1.6168233,0.0,0.007762493,-9.549331e-05,8.055774,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658686,4.2674936e-05,0.0,0.0,10.0
51,72,0,10.0,0.9615732,90.0,-0.0018987596,-0.00025030234,10.655035,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652765,0.00017176698,0.0,0.0,10.0
93,119,0,6.0,2.2855198,8.058268,0.012066375,-0.00032883533,7.7093787,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6573,7.286857e-05,0.0,0.0,10.0
18,118,0,25.0,1.3658959,135.25766,0.01920603,0.00045564372,8.224503,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655073,0.00012140628,0.0,0.0,10.0
19,8,0,10.0,1.1628549,33.452644,0.0027432742,0.00010189422,8.385488,88.56961,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
84,42,0,11.0,0.6468736,0.0,-0.0,-6.3726126e-05,9.665212,198.40681,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
105,15,0,9.0,0.6410822,270.0,0.01139256,9.3885435e-05,8.981058,177.13922,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
63,52,0,11.0,0.32055113,270.0,-0.01139256,-6.2599094e-05,10.3673525,199.48036,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
76,23,0,11.0,0.6410822,90.0,-0.00284814,-0.00012518057,11.283644,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
4,90,0,14.0,4.191814,22.43749,-0.00059036317,0.00035737245,8.200195,177.13922,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658825,3.9674564e-05,0.0,0.0,10.0
61,80,0,14.0,4.6602354,106.08203,0.0025340437,0.0003268334,7.688375,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65902,3.542087e-05,0.0,0.0,10.0
65,83,0,3.0,2.6055863,7.061868,-0.0018099974,-0.00045458568,9.97605,0.0,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.57712,6.394341e-05,0.0,0.0,30.0
109,21,0,12.0,0.6410822,90.0,0.00284814,9.3885435e-05,8.981058,198.40681,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
115,48,0,9.0,1.3658959,315.25766,0.0072850455,-1.6616517e-05,8.224503,125.82343,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655073,0.00012140628,0.0,0.0,10.0
32,6,0,10.0,1.02182,18.280909,-0.005098396,-6.667447e-05,8.5148115,251.64687,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
94,120,0,5.0,5.333768,57.02993,-0.00087277655,-0.00020492588,7.552697,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659224,3.0977277e-05,0.0,0.0,10.0
4,42,0,1.0,2.9261043,186.28389,-0.0023603756,-0.00032198324,10.927696,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
54,58,0,10.0,0.32344708,0.0,-0.022178551,-0.00022307344,10.358359,321.3424,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
31,122,0,4.0,0.7180438,116.77172,-0.0045605614,-0.00032235618,8.867675,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
68,59,0,12.0,0.7180438,243.22827,-0.012668224,0.00022075127,8.867675,125.82343,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
120,59,0,10.0,0.0,0.0,0.0,0.0,12.089178,199.48036,1.7,0.0,35.0,0.033835303,0.01,3000.0,0.1,0.0,999.0,0.0,0.0,10.0
106,39,0,9.0,0.6410822,270.0,0.00284814,0.00012518057,8.981058,199.48036,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.48827,0.00025760048,0.0,0.0,30.0
118,90,0,14.0,1.6116296,143.37714,0.012764457,-0.000105762,8.058993,198.40681,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
85,78,0,9.0,1.7391572,201.6243,-0.0006414348,5.240904e-05,8.675942,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.68774,9.565621e-05,0.0,0.0,40.0
45,50,0,15.0,1.6075783,232.88245,0.0082582785,8.2848914e-05,8.061511,125.82343,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.279594,0.00010306221,0.0,0.0,50.0
34,116,0,6.0,2.9781306,192.42014,0.0006942527,8.985676e-05,7.444306,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658081,5.592975e-05,0.0,0.0,10.0
75,35,0,16.0,0.0,0.0,0.0,0.0,11.39603,198.40681,1.7,0.0,35.0,0.033835303,0.01,3000.0,0.1,0.0,999.0,0.0,0.0,10.0
83,49,0,10.0,0.0,0.0,0.0,0.0,12.089178,199.48036,1.7,0.0,35.0,0.033835303,0.01,3000.0,0.1,0.0,999.0,0.0,0.0,10.0
120,57,0,14.0,0.7180438,243.22827,0.020775886,0.00011917923,8.867675,282.36008,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
12,78,0,11.0,2.3247526,146.54736,0.016877098,0.00038891003,7.69234,125.82343,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656952,8.046446e-05,0.0,0.0,10.0
101,24,0,8.0,0.6468736,0.0,-0.005544638,-6.3726126e-05,9.665212,88.56961,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
85,105,0,2.0,1.9399614,0.0,-0.0036964251,-0.00022270072,7.873452,88.56961,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656706,8.5857544e-05,0.0,0.0,10.0
16,94,0,3.0,2.458407,23.01259,-0.013865273,-0.00041542307,10.201324,0.0,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,6.7665394e-05,0.0,0.0,90.0
66,31,0,14.0,1.332681,13.915472,-0.0013468903,-5.3484183e-07,8.249129,377.4703,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
51,101,0,15.0,1.3658959,135.25766,0.007947324,0.0004395591,8.224503,199.48036,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655073,0.00012140628,0.0,0.0,10.0
51,61,0,11.0,0.7180438,296.77173,0.016215328,8.130583e-05,8.867675,177.13922,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
37,113,0,2.0,2.9261043,173.71611,-0.0034359898,-0.00020486095,8.1551075,88.56961,0.3,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658033,5.687923e-05,0.0,0.0,95.0
99,46,0,11.0,0.4553753,315.25766,-0.011920986,-3.1589752e-05,10.016262,198.40681,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
45,17,0,8.0,1.7391572,201.6243,-0.0021737516,-0.00021767827,9.081408,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656258,9.565623e-05,0.0,0.0,10.0
