row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
1,102,1,942.0,27.503841,253.01086,-0.003923759,0.00016407587,5.835061,503.7739,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60388,5.569047e-06,0.0,0.0,30.0
4,84,1,854.0,15.571089,13.94121,-0.0029691919,-0.0010922211,7.153294,177.48013,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60164,1.0468391e-05,0.0,0.0,30.0
5,13,1,620.0,36.57418,61.912273,-0.00582208,-0.0016448859,6.1739864,321.53046,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60464,3.9359334e-06,0.0,0.0,30.0
5,14,1,663.0,41.067398,41.4018,-0.006556058,-0.0010599517,6.0132422,377.83044,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.6049,3.3662413e-06,0.0,0.0,30.0
6,13,1,579.0,30.363276,17.794275,-0.009238674,-0.0013795642,8.319795,251.88695,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660416,4.9993564e-06,0.0,0.0,10.0
8,38,1,1122.0,10.460505,270.0,0.0008597602,2.9766165e-05,6.1786633,399.1122,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.59929,1.563359e-05,0.0,0.0,30.0
12,7,1,342.0,28.592726,275.33832,-0.0016859415,-0.00065681816,6.1947255,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660398,5.341172e-06,0.0,0.0,10.0
12,8,1,343.0,26.574444,291.82175,-0.0050269873,-0.001223048,6.2805905,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660378,5.7589455e-06,0.0,0.0,10.0
13,7,1,399.0,17.78035,276.05133,-0.0012563809,0.0019374423,5.6265316,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66023,8.987194e-06,0.0,0.0,10.0
22,0,1,230.0,20.115631,293.57687,-0.0035136575,-0.00015549608,8.266249,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66028,7.923772e-06,0.0,0.0,10.0
23,0,1,265.0,24.670322,267.18753,-0.004186248,-0.00038711855,5.2672462,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660355,6.328636e-06,0.0,0.0,10.0
25,20,1,399.0,19.305248,23.533413,-0.0020621526,-0.0027719738,11.110367,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660265,8.265587e-06,0.0,0.0,10.0
25,21,1,432.0,25.67154,47.164303,0.0015810962,-0.002776076,7.52443,88.74007,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660368,6.0627804e-06,0.0,0.0,10.0
25,33,1,915.0,33.422977,35.79906,-0.00078351726,0.00031961116,6.29112,399.1122,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660442,4.429666e-06,0.0,0.0,10.0
26,20,1,401.0,17.127945,273.14426,-0.005677349,-0.0033820537,7.863556,88.74007,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660215,9.3669905e-06,0.0,0.0,10.0
26,21,1,413.0,13.282951,321.96295,-0.020287259,-0.0010195513,11.425904,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660082,1.2253427e-05,0.0,0.0,10.0
27,10,1,321.0,25.649702,232.39897,-0.001106997,-0.0017184133,6.3214335,88.74007,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660368,6.0627804e-06,0.0,0.0,10.0
