row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
24,87,0,27.0,0.0,0.0,0.0,0.0,11.398007,281.33002,1.7,0.0,35.0,0.033835303,0.01,3000.0,0.1,0.0,999.0,0.0,0.0,10.0
24,85,0,20.0,2.654069,13.968251,-0.0045307605,5.2714044e-05,8.947964,199.0313,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657778,6.250019e-05,0.0,0.0,10.0
81,68,0,17.0,0.719651,26.449383,-0.002496956,-6.2842104e-05,9.560563,88.919205,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
47,60,0,16.0,1.4347191,296.6811,0.0032757106,-0.00011387276,9.275913,126.06976,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65536,0.00011521563,0.0,0.0,10.0
0,58,0,16.0,2.5627255,90.0,-0.0007064471,0.0001248288,7.5967407,199.63583,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657688,6.443714e-05,0.0,0.0,10.0
61,83,0,19.0,0.64433056,0.0,-0.0027832615,-0.0,10.076592,199.63583,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
53,78,0,18.0,1.0140913,288.522,-0.008386986,-7.220466e-05,9.910676,89.3698,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26585,0.00016295575,0.0,0.0,50.0
118,111,0,15.0,1.3218403,255.89548,0.00016111536,-0.00019137094,8.259276,88.919205,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
37,86,0,16.0,1.2820039,90.0,-0.0014128942,-6.255503e-05,9.676183,199.0313,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.273674,0.00012881224,0.0,0.0,50.0
45,97,0,22.0,1.3631904,315.1448,0.014542028,9.462661e-05,8.228462,199.0313,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.275375,0.000121406265,0.0,0.0,50.0
74,84,0,22.0,0.719651,206.44939,0.004993912,9.566244e-05,8.867415,177.83841,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
110,109,0,19.0,0.32217547,0.0,-0.005566523,-3.1617557e-05,9.671127,199.63583,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.18508,0.00051513937,0.0,0.0,50.0
19,64,0,17.0,0.717472,296.6811,0.02570173,-0.00019502014,8.870448,88.919205,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
