row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
5,23,1,187.0,16.835182,273.20215,0.0053102463,-4.5072986e-05,5.6846538,198.7205,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660206,9.556887e-06,0.0,0.0,10.0
5,73,1,465.0,32.423637,51.618942,0.00044680486,-0.00035655792,5.6362357,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660435,4.5815827e-06,0.0,0.0,10.0
5,74,1,496.0,32.59248,46.57824,-0.0027172696,-0.0003943001,5.6297336,199.55841,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660435,4.5436036e-06,0.0,0.0,10.0
5,113,1,168.0,26.194603,195.83958,0.0013580073,-0.0012222566,5.1986604,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660374,5.9488416e-06,0.0,0.0,10.0
6,22,1,193.0,12.995668,299.2255,-0.0054653096,0.0004592267,6.6486707,199.55841,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660069,1.25572615e-05,0.0,0.0,10.0
6,23,1,213.0,13.92101,288.55585,0.006688438,0.00030262757,5.884145,251.89426,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660109,1.1683734e-05,0.0,0.0,10.0
6,65,1,240.0,24.302183,246.46805,0.00012016602,-0.00011216487,5.2843103,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660347,6.4425753e-06,0.0,0.0,10.0
6,72,1,392.0,27.252367,39.04871,-0.0018591944,-0.00086628355,6.2513037,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660387,5.645006e-06,0.0,0.0,10.0
6,73,1,425.0,27.94924,36.192665,-0.004864796,-0.0006877953,6.221679,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660395,5.4930883e-06,0.0,0.0,10.0
6,114,1,137.0,14.23998,177.47295,-0.00096333073,-0.0029542265,5.860552,125.94713,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66012,1.1455859e-05,0.0,0.0,10.0
7,66,1,266.0,21.723083,252.72447,-1.3841224e-05,0.0011895447,5.409531,125.94713,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66031,7.2401426e-06,0.0,0.0,10.0
7,71,1,334.0,23.180218,0.0,-0.007383145,-0.00012329657,9.075124,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66033,6.8223685e-06,0.0,0.0,10.0
7,72,1,368.0,22.908669,0.75856066,-0.008370393,-0.00024787788,8.876972,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660328,6.8603476e-06,0.0,0.0,10.0
7,114,1,135.0,11.225035,186.47464,-0.0021165728,-0.0022051807,7.7158785,88.74525,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659973,1.4646127e-05,0.0,0.0,10.0
8,67,1,295.0,21.485191,275.75052,0.001459404,0.0008244106,6.5202723,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660309,7.354079e-06,0.0,0.0,10.0
8,69,1,307.0,30.235477,286.27997,-0.0024175313,-0.0011602452,6.8208666,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660416,4.9993564e-06,0.0,0.0,10.0
8,70,1,327.0,29.206543,298.27356,-0.0047076307,-0.0008829585,6.6802588,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660406,5.189253e-06,0.0,0.0,10.0
8,71,1,354.0,25.704756,318.51044,-0.006225012,-0.00049505685,6.829828,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660368,6.0627804e-06,0.0,0.0,10.0
