row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
30,15,0,3.0,3.3645167,16.58853,-0.0034965526,-0.0003937745,7.323048,198.71597,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,4.9397288e-05,0.0,0.0,90.0
30,12,0,4.0,0.72079843,206.40402,-0.027444378,-0.00025071471,11.262721,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
107,110,0,13.0,4.490144,274.11438,-0.00028931323,-7.1409995e-05,7.033548,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65896,3.6750145e-05,0.0,0.0,10.0
59,102,0,19.0,4.2093377,261.193,0.003354731,-0.00030436777,7.0983763,266.22815,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658848,3.92188e-05,0.0,0.0,10.0
0,30,0,5.0,2.5829237,82.82516,-0.0007793198,-0.00021459676,7.587883,532.4563,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7314,6.394341e-05,0.0,0.0,40.0
123,91,0,30.0,5.1511903,0.0,0.0010416515,0.0010976653,6.8955555,177.48543,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659168,3.2192616e-05,0.0,0.0,10.0
69,12,0,4.0,1.0142949,288.55634,-0.014144879,2.8645745e-05,9.2163315,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
30,102,0,9.0,2.8687901,243.27325,0.005937903,-7.8156794e-05,7.482756,125.94534,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
47,60,0,8.0,1.1612768,33.504112,-0.0029823266,-0.00012771694,9.486438,199.55728,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
57,67,0,30.0,0.7177599,63.27323,0.026783733,0.0005085751,8.869051,268.10938,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.50076,0.00023040718,0.0,0.0,30.0
100,22,0,1.0,3.417142,319.01392,-0.006832929,-9.5852294e-05,7.307492,354.97086,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
