row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
34,80,0,3.0,0.7238894,333.7174,-0.024895081,-0.00041938882,11.74824,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
39,53,0,19.0,1.3682276,224.64563,0.0033168003,1.4669996e-05,8.221099,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655073,0.00012140628,0.0,0.0,10.0
8,42,0,17.0,1.297956,0.0,0.0041444614,-3.20604e-05,8.273844,125.61346,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.273674,0.00012881224,0.0,0.0,50.0
59,58,0,14.0,1.2820039,90.0,-0.0,-9.383257e-05,8.286214,197.8739,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.273674,0.00012881224,0.0,0.0,50.0
94,88,0,15.0,1.9726951,189.34807,-0.00034408254,-8.347115e-05,8.953622,88.271065,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,10.0
53,48,0,-32768.0,89.69137,0.0,-0.0,-1.6438042e-07,-0.73724043,199.34799,0.2,0.0,35.0,0.033835303,1.0,3000.0,0.02,1766.0642,999.0,0.0,0.0,60.0
15,66,0,16.0,1.922605,90.0,-0.0,3.124818e-05,7.8807487,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656706,8.5857544e-05,0.0,0.0,10.0
59,99,0,44.0,8.982414,325.50705,-0.00014010907,0.00054016605,7.024444,282.26657,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6598,1.8406094e-05,0.0,0.0,10.0
67,83,0,14.0,1.1655934,146.63628,0.009658144,0.00012348319,8.381437,197.8739,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.270454,0.00014290263,0.0,0.0,50.0
56,102,0,28.0,5.471256,276.7926,-0.0030777713,-0.0001793015,7.5253983,199.34799,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659264,3.014173e-05,0.0,0.0,10.0
0,70,0,23.0,1.4368484,243.15039,0.0010182244,-0.00030774286,8.865291,319.49002,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65536,0.00011521563,0.0,0.0,10.0
75,85,0,15.0,1.9497639,260.42206,0.003385573,4.4309465e-05,7.866711,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,10.0
86,95,0,7.0,1.1655934,213.36372,-0.01621614,-0.00033736718,11.639534,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
5,71,0,28.0,1.4368484,63.150383,0.017818928,0.00032121874,8.172144,251.22691,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65536,0.00011521563,0.0,0.0,10.0
22,105,0,17.0,2.9683435,49.04817,-0.002477874,0.00022461994,9.237665,88.271065,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658081,5.592975e-05,0.0,0.0,10.0
1,113,0,13.0,6.3451724,165.42993,-0.0030552424,-0.0011330651,9.861065,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65944,2.6267831e-05,0.0,0.0,10.0
72,104,0,17.0,5.821684,0.0,0.0009209914,-0.00034750326,6.7697663,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65933,2.8622553e-05,0.0,0.0,10.0
22,73,0,18.0,1.6151409,36.53028,0.006809211,-0.00022303428,9.15373,197.8739,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.279594,0.00010306221,0.0,0.0,50.0
99,123,0,15.0,0.91224813,224.64563,0.0009950395,-0.00023329435,8.626564,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652287,0.00018217335,0.0,0.0,10.0
58,51,0,8.0,89.69141,0.00863226,0.005525105,1.6427012e-07,-0.04422606,178.7396,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60643,6.203262e-08,0.0,0.0,30.0
96,73,0,13.0,2.0492158,341.77664,-0.007629393,-0.00020319562,8.915534,125.61346,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.56906,8.14899e-05,0.0,0.0,30.0
111,118,0,20.0,0.7238894,206.2826,0.0019916063,0.00022832595,8.857869,197.8739,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
114,80,0,10.0,3.421923,48.462543,-0.0045471974,-0.00048924395,9.095172,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65842,4.8485796e-05,0.0,0.0,10.0
96,66,0,14.0,0.97353977,0.0,0.0036839657,9.6213604e-05,8.561525,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652765,0.00017176698,0.0,0.0,10.0
4,97,0,40.0,4.6307755,124.01797,0.0047170646,0.00034076077,7.6930475,319.49002,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659004,3.576269e-05,0.0,0.0,10.0
45,103,0,17.0,2.8825557,270.0,-0.008920919,-0.00021827653,10.040234,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65802,5.7221052e-05,0.0,0.0,10.0
37,118,0,43.0,1.7442385,338.4419,0.004232104,-0.00032328954,7.9781785,199.34799,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28129,9.565621e-05,0.0,0.0,50.0
73,98,0,18.0,5.7154965,308.50204,0.0033656987,-0.00023703495,7.4814467,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659315,2.892639e-05,0.0,0.0,10.0
21,45,0,15.0,1.3224185,255.79608,0.00040818917,8.284576e-05,8.255165,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
39,76,0,6.0,2.29309,171.96852,-0.0036131188,-0.00045990827,7.704371,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6573,7.286857e-05,0.0,0.0,10.0
71,115,0,84.0,4.1291685,218.31454,0.016463712,0.0014777721,7.114996,319.49002,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658798,4.028223e-05,0.0,0.0,10.0
44,75,0,21.0,2.3302228,326.6363,-0.00017885458,0.00025939383,7.68829,319.49002,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657368,7.146334e-05,0.0,0.0,10.0
4,99,0,26.0,7.501925,149.34802,0.004053019,0.00015400676,6.5139084,197.8739,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65963,2.2090091e-05,0.0,0.0,10.0
114,92,0,14.0,2.4654438,157.05693,-0.00055359554,2.2987959e-05,7.631816,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65754,6.7665394e-05,0.0,0.0,10.0
1,58,0,16.0,1.0148449,251.35138,0.0065042432,1.3116479e-05,8.519965,88.271065,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
5,45,0,19.0,1.3369265,193.87038,0.00094809534,7.485155e-05,8.24425,197.8739,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
45,56,0,16.0,0.64906126,0.0,-0.011051895,-0.00025663135,10.065603,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
65,109,0,10.0,4.2596445,351.35974,-0.0038038222,-0.0011757434,8.875534,199.34799,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658848,3.92188e-05,0.0,0.0,10.0
39,106,0,39.0,6.39264,267.10205,4.784555e-05,0.00082419976,6.6754966,199.34799,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659462,2.573612e-05,0.0,0.0,10.0
93,87,0,19.0,0.64906126,180.0,0.0055259475,0.0001924735,8.96699,197.8739,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
93,92,0,14.0,2.1707447,153.71739,-0.0013277374,-0.0002964807,9.145551,88.271065,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28561,7.6818425e-05,0.0,0.0,50.0
49,66,0,13.0,1.9497639,99.57793,-0.0018073363,-3.4212649e-06,7.866711,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,10.0
82,97,0,24.0,3.6921265,344.92383,0.007471497,5.513206e-05,7.227217,279.487,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65857,4.5219556e-05,0.0,0.0,10.0
73,113,0,66.0,12.457165,0.0,0.0024087466,0.00038833517,5.9965763,279.487,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660036,1.3240891e-05,0.0,0.0,10.0
36,60,0,18.0,1.3369265,346.1296,0.0033973402,0.00017333162,8.24425,197.8739,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.27456,0.00012497633,0.0,0.0,50.0
17,118,0,17.0,1.8855916,30.651976,0.0064735706,-0.00040418992,9.286497,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65659,8.8402165e-05,0.0,0.0,10.0
6,92,0,36.0,4.8185563,127.21068,-0.0016295522,-8.320205e-05,7.6531167,199.34799,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659065,3.4395423e-05,0.0,0.0,10.0
20,47,0,17.0,1.6222888,0.0,0.005525948,0.00019227916,8.0507,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
82,103,0,14.0,3.6782339,37.532032,0.0016179451,-0.0002907963,7.9241447,88.271065,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65857,4.5219556e-05,0.0,0.0,10.0
23,86,0,2.0,0.64906126,180.0,-0.035918664,-0.00022455242,12.262828,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
34,115,0,35.0,3.6782339,37.532032,-0.0016481874,-0.00026877376,7.9241447,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65857,4.5219556e-05,0.0,0.0,10.0
63,121,0,23.0,2.9683435,130.95183,0.010163606,-0.0003947356,7.445906,197.8739,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658081,5.592975e-05,0.0,0.0,10.0
26,40,0,-32768.0,89.78043,44.642128,-0.003980091,-5.8474214e-08,0.8681713,0.0,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.303215,6.203262e-08,0.0,0.0,50.0
123,82,0,5.0,0.97353977,180.0,-0.011051897,-0.00064142403,8.561525,88.271065,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26383,0.00017176695,0.0,0.0,50.0
46,111,0,23.0,2.7409515,290.79016,-0.010268899,-5.2074105e-05,8.62435,88.271065,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657875,6.0335366e-05,0.0,0.0,10.0
20,41,0,13.0,0.6410822,90.0,0.0028674381,6.259028e-05,8.979362,89.3698,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.24413,0.00025760045,0.0,0.0,50.0
119,106,0,16.0,3.7671077,149.34802,0.006740959,-9.421822e-05,7.2070556,88.271065,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658619,4.4156135e-05,0.0,0.0,10.0
26,122,0,27.0,5.054344,26.282595,-0.000711288,-0.00018996974,7.605106,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659134,3.2914224e-05,0.0,0.0,10.0
17,52,0,18.0,1.0148449,288.64862,0.011201754,-0.00025934234,8.519965,125.61346,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26585,0.00016295575,0.0,0.0,50.0
28,112,0,14.0,1.6151409,36.53028,-0.011512941,-0.0005894526,10.9995575,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
36,101,0,8.0,1.1655934,146.63628,-0.016096905,-0.0005266976,11.42596,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
109,105,0,11.0,0.64906126,0.0,0.0027629745,-0.00012831567,9.660138,319.49002,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
3,33,0,11.0,0.64906126,180.0,-0.008288923,6.415783e-05,9.660138,251.22691,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
27,90,0,16.0,7.501925,210.65198,0.0036730482,-0.00010303535,7.2070556,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65963,2.2090091e-05,0.0,0.0,10.0
60,117,0,30.0,3.644378,44.645622,0.0017413204,0.00029810902,7.2402697,197.8739,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658554,4.5561374e-05,0.0,0.0,10.0
80,115,0,29.0,3.622265,349.81918,-0.007287947,0.00037305508,7.246372,176.54213,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658527,4.613106e-05,0.0,0.0,10.0
110,99,0,12.0,3.0721877,161.77663,0.0029816017,0.00018817572,7.4114566,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65815,5.4334618e-05,0.0,0.0,10.0
23,54,0,21.0,0.45615295,135.35437,0.009950401,8.198122e-05,9.319712,197.8739,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.21967,0.0003643227,0.0,0.0,50.0
83,118,0,19.0,4.4584026,120.565834,-0.0025974594,7.506928e-05,8.647431,125.61346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658943,3.7129943e-05,0.0,0.0,10.0
78,57,0,11.0,89.69141,0.0051793563,0.005525105,1.643245e-07,-0.73737323,178.7396,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.303215,6.203262e-08,0.0,0.0,50.0
37,122,0,52.0,2.9544861,257.32025,0.003418803,0.00079384504,7.450594,178.7396,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.290405,5.5929737e-05,0.0,0.0,50.0
101,87,0,16.0,0.7238894,206.2826,-0.011949639,2.5772568e-05,8.857869,197.8739,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
