row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
40,29,1,3.0,2.5117161,219.62125,-0.003316443,-0.00026314956,8.309272,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7286,6.595632e-05,0.0,0.0,40.0
113,93,1,1.0,1.7272832,248.06897,0.002099484,-9.366021e-05,9.089491,177.5735,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.68774,9.565621e-05,0.0,0.0,40.0
6,29,1,3.0,1.1579585,56.136627,-0.0008414177,0.00011125484,8.390937,88.78675,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.62274,0.0001429026,0.0,0.0,40.0
96,70,1,2.0,0.0,0.0,0.0,0.0,11.39726,177.5735,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,0.0,999.0,0.0,0.0,40.0
88,106,1,2.0,1.014244,71.45225,-0.0037568677,0.00016033831,8.523484,199.57687,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00036432274,0.0,0.0,90.0
46,65,1,1.0,0.32265607,0.0,-0.005558232,-9.513585e-05,10.362037,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
11,48,1,1.0,0.32055113,270.0,0.011336903,-9.389865e-05,9.675435,177.5735,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0005151393,0.0,0.0,90.0
47,34,1,2.0,0.0,0.0,0.0,0.0,11.39726,198.79465,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,0.0,999.0,0.0,0.0,40.0
57,46,1,3.0,0.9615732,270.0,0.0018894837,-0.0,8.576822,198.79465,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.583,0.000171767,0.0,0.0,40.0
44,22,1,4.0,1.0195676,341.67728,0.0029938715,-0.00021133546,9.211394,88.78675,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
0,34,1,5.0,1.8186824,135.1875,0.003968912,8.2905115e-07,7.9392834,178.7396,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.56467,9.1098686e-05,0.0,0.0,0.0
66,60,1,1.0,0.6452917,180.0,-0.0,-6.341486e-05,10.074354,280.95328,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0002576005,0.0,0.0,90.0
80,62,1,1.0,0.9678864,0.0,0.0018527437,-6.3399784e-05,9.263424,125.97638,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0005151393,0.0,0.0,90.0
5,107,1,1.0,1.0195676,198.32275,-0.0091577275,-8.903836e-05,11.226297,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
17,94,1,1.0,0.6452917,180.0,-0.011116464,-9.512228e-05,11.278327,0.0,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0002576005,0.0,0.0,90.0
1,47,1,3.0,0.32265607,0.0,0.022232927,-0.0,9.668889,178.7396,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0005151393,0.0,0.0,90.0
77,80,1,2.0,0.32265607,180.0,0.005558232,-0.0,9.668889,199.57687,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
21,53,1,1.0,0.7205117,26.415339,-0.009482698,-0.00013400937,10.657232,443.93375,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00023040723,0.0,0.0,90.0
77,42,1,3.0,0.45481384,135.1875,0.011906739,-0.00015710486,9.325578,88.78675,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
47,17,1,4.0,2.45332,23.063114,-0.0018806016,-1.37039115e-05,7.639678,88.78675,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65754,6.7665394e-05,0.0,0.0,10.0
101,36,1,-4.0,2.5627255,90.0,-0.002834226,-0.00046810796,9.205431,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.70123,8.5857544e-05,0.0,0.0,40.0
120,78,1,-1.0,0.9678864,180.0,-0.0074109747,-9.5099684e-05,10.179715,198.79465,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00023040723,0.0,0.0,90.0
107,49,1,3.0,0.7176879,296.71536,0.0060600503,-1.2482395e-05,8.8694,125.97638,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
90,16,1,3.0,1.1608765,326.4828,-0.004891224,6.942123e-05,8.388419,177.5735,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.62274,0.0001429026,0.0,0.0,40.0
4,29,1,2.0,1.6023545,270.0,-0.0011336902,-3.1264313e-05,8.759144,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.67755,0.0001030622,0.0,0.0,40.0
43,19,1,5.0,1.7354844,158.32759,0.0012847297,-7.054257e-05,7.9861393,178.7396,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.68774,9.565621e-05,0.0,0.0,40.0
91,27,1,-1.0,1.2904197,180.0,-0.008337348,-0.0003168934,9.381207,199.57687,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00012881226,0.0,0.0,90.0
78,51,1,2.0,0.32265607,180.0,-0.0,3.171196e-05,10.362037,177.5735,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00014290263,0.0,0.0,90.0
20,42,1,2.0,0.7176879,296.71536,-0.009090076,-7.5569726e-05,10.8153105,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
117,83,1,1.0,1.0195676,341.67728,-0.005635524,-2.5723046e-05,8.518248,280.95328,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
66,95,1,1.0,0.45481384,44.81249,-0.021829022,-4.70576e-05,11.271488,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
43,9,1,3.0,1.0195676,341.67728,0.0056355246,8.829534e-05,8.518248,452.8401,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
3,16,1,2.0,1.1608765,33.517197,-0.0056070117,-0.000138765,9.081567,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.68774,9.565621e-05,0.0,0.0,40.0
107,66,1,2.0,0.32055113,270.0,0.011336904,9.389865e-05,9.675435,178.7396,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0005151393,0.0,0.0,90.0
1,0,1,2.0,0.7205117,333.58466,-0.008983608,-4.2692544e-05,9.964085,320.77347,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
124,64,1,-1.0,0.6410822,270.0,-0.0,-0.0,8.982287,178.7396,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.48827,0.00025760045,0.0,0.0,0.0
108,116,1,3.0,0.0,0.0,0.0,0.0,11.39726,455.58435,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,0.0,999.0,0.0,0.0,40.0
48,20,1,4.0,1.6443838,168.76196,-0.0036922004,-8.294596e-05,8.0400915,320.77347,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.68024,0.00010108728,0.0,0.0,40.0
38,3,1,2.0,0.6410822,270.0,0.0028342258,-3.129514e-05,8.982287,268.10938,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.46484,0.00025760048,0.0,0.0,40.0
112,71,1,1.0,1.0195676,198.32275,-0.0008805506,4.7361846e-05,8.518248,199.57687,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00036432274,0.0,0.0,90.0
78,25,1,5.0,2.314972,236.13663,0.0045676953,-2.6433438e-05,7.6977897,177.5735,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.72107,7.146333e-05,0.0,0.0,40.0
118,83,1,2.0,0.32055113,270.0,0.0056684515,3.1299547e-05,9.675435,266.36026,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
68,116,1,2.0,0.6410822,270.0,0.0056684515,-0.00012518057,8.982287,251.95276,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
73,28,1,1.0,1.6023545,90.0,-0.0034010706,-9.379294e-05,8.759144,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.68774,9.565621e-05,0.0,0.0,40.0
33,11,1,2.0,0.45481384,135.1875,-0.029766846,7.8956735e-05,9.325578,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
20,32,1,2.0,0.7176879,243.28465,-0.010100084,-9.380195e-05,8.8694,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
5,36,1,2.0,2.0278528,251.45226,-0.0025045786,-0.0001630703,8.928948,178.7396,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7072,8.14899e-05,0.0,0.0,40.0
116,71,1,2.0,0.32055113,90.0,0.022673806,3.1299547e-05,9.675435,198.79465,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
73,74,1,2.0,0.32055113,90.0,0.0056684515,6.2599094e-05,9.675435,282.42828,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.583,0.000171767,0.0,0.0,40.0
69,47,1,1.0,0.45481384,224.8125,-0.037704676,-4.7063004e-05,11.522802,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
34,3,1,3.0,0.32055113,90.0,0.0056684515,-0.0,9.675435,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
47,46,1,3.0,0.32055113,270.0,0.0056684515,-0.0,9.675435,251.95276,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
34,18,1,1.0,0.32265607,180.0,-0.022232927,-3.1711952e-05,9.668889,125.97638,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
123,70,1,2.0,0.45481384,44.81249,0.007937826,6.3011226e-05,9.325578,282.42828,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
44,0,1,2.0,0.9095704,315.1875,-0.007937826,0.00012515136,8.632431,397.5893,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7072,8.14899e-05,0.0,0.0,40.0
102,19,1,1.0,0.32265607,0.0,-0.011116464,-3.1711952e-05,9.668889,199.57687,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
117,86,1,1.0,1.6090932,143.30992,-0.0021046589,0.00012199278,8.061798,88.78675,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
28,25,1,2.0,0.7205117,206.41534,0.0009981792,-0.00020278568,9.964085,251.95276,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
19,25,1,1.0,0.45481384,224.8125,-0.013891194,-0.00017348437,10.935016,125.97638,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
36,3,1,3.0,0.32265607,180.0,0.005558232,9.513585e-05,9.668889,89.3698,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.37016,0.00051513925,0.0,0.0,30.0
103,12,1,3.0,0.32055113,90.0,0.011336903,3.1299547e-05,9.675435,198.79465,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
99,93,1,1.0,1.0195676,161.67725,-0.0021133218,-2.4980029e-05,8.518248,251.95276,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00016295577,0.0,0.0,90.0
2,44,1,3.0,0.45481384,135.1875,0.003968913,-3.1915322e-05,9.325578,198.79465,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00036432274,0.0,0.0,90.0
97,54,1,5.0,1.3296114,166.05173,0.0053190817,6.55332e-05,8.2526655,251.95276,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.64734,0.00012497634,0.0,0.0,40.0
61,9,1,2.0,0.32265607,0.0,-0.005558232,-3.1711952e-05,9.668889,321.582,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
61,22,1,3.0,0.7205117,153.58466,-0.010480877,6.189132e-06,8.865473,125.97638,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
4,19,1,4.0,0.9678864,180.0,0.0055582314,-0.00012679957,8.570277,178.7396,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.583,0.000171767,0.0,0.0,40.0
28,15,1,3.0,0.45481384,135.1875,0.001984457,-4.663711e-05,9.325578,198.79465,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
75,26,1,2.0,0.6452917,180.0,-0.0,-0.0,9.668889,88.78675,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.46484,0.00025760048,0.0,0.0,40.0
64,7,1,1.0,1.4351506,63.28464,-0.004797539,-0.00016383517,9.274865,199.57687,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7072,8.14899e-05,0.0,0.0,40.0
106,90,1,-1.0,1.2904197,0.0,0.001389558,-0.0,8.282595,198.79465,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.46484,0.00025760048,0.0,0.0,40.0
79,86,1,1.0,0.45481384,315.1875,-0.005953369,-4.7877027e-05,10.4241905,282.42828,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
33,5,1,4.0,0.32265607,0.0,0.011116464,9.513585e-05,9.668889,199.57687,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
34,1,1,3.0,0.45481384,315.1875,0.009922282,7.855783e-05,9.325578,198.79465,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
39,1,1,3.0,1.4407955,206.41534,-0.0064881616,-0.000120879326,8.865473,377.92914,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.66077,0.000115215626,0.0,0.0,40.0
39,7,1,3.0,0.45481384,315.1875,0.0059533697,-7.896484e-05,9.325578,368.34012,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
102,18,1,1.0,0.32265607,180.0,-0.0,-6.3423904e-05,11.278327,178.7396,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
107,94,1,-1.0,1.6090932,36.690056,-0.0018807584,-0.00010437335,9.16041,88.78675,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00012497634,0.0,0.0,90.0
74,75,1,3.0,0.0,0.0,0.0,0.0,11.39726,199.57687,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,999.0,0.0,0.0,90.0
108,102,1,2.0,1.3219575,255.87527,0.0012116513,-5.9214515e-05,8.258441,125.97638,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00012497634,0.0,0.0,90.0
38,13,1,3.0,0.7205117,153.58466,-0.008484519,-5.1853993e-05,8.865473,88.78675,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
28,10,1,3.0,0.32055113,90.0,0.0056684515,3.1299547e-05,9.675435,199.57687,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.583,0.000171767,0.0,0.0,40.0
37,5,1,2.0,0.45481384,44.81249,-0.003968913,3.1502914e-05,9.325578,199.57687,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
101,55,1,4.0,0.7205117,333.58466,0.01547177,5.7059515e-05,8.865473,199.57687,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.64734,0.00012497634,0.0,0.0,40.0
88,77,1,2.0,1.3642124,315.1875,-0.0006614855,-1.5534857e-05,8.226966,125.97638,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
101,61,1,1.0,0.32055113,270.0,-0.011336903,-3.1299547e-05,10.774047,399.15375,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
