row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
30,57,0,89.0,9.723303,58.093803,0.00027746527,0.00080215145,6.250978,353.33905,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659868,1.6924894e-05,0.0,0.0,10.0
30,53,0,60.0,10.5036745,84.74504,-0.005328989,-0.00036196917,9.978814,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65993,1.5557636e-05,0.0,0.0,10.0
108,38,0,72.0,9.891762,335.3492,-0.0031808761,6.802081e-05,7.6197553,199.3762,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65988,1.6734997e-05,0.0,0.0,10.0
60,32,0,19.0,1.2820039,270.0,-0.011453217,-0.0001563876,10.078337,125.65823,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654736,0.00012881226,0.0,0.0,10.0
0,31,0,196.0,8.615689,318.34445,0.010093177,0.000872506,6.3740063,441.67383,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.59766,1.9165678e-05,0.0,0.0,0.0
82,67,0,95.0,9.098709,321.03732,0.010300938,0.0007601301,6.3185797,319.64844,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659813,1.8178214e-05,0.0,0.0,10.0
69,118,0,97.0,10.568566,346.12,0.0014032279,0.0013836094,6.165852,353.33905,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659927,1.5671572e-05,0.0,0.0,10.0
122,29,0,32.0,2.0663517,38.33465,-0.0017294589,-9.386639e-07,7.80895,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656952,8.046446e-05,0.0,0.0,10.0
47,73,0,15.0,2.9674256,310.93137,-0.005435566,-0.00091210863,10.742415,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658081,5.592975e-05,0.0,0.0,10.0
112,42,0,108.0,1.8742911,58.740982,-0.0019745866,0.00034577042,7.906581,480.5061,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28295,8.840215e-05,0.0,0.0,50.0
100,109,0,43.0,5.1730256,112.03252,0.003357173,-0.0002325635,6.888988,199.3762,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65918,3.188878e-05,0.0,0.0,10.0
22,96,0,35.0,7.773706,150.54178,0.0048388983,-0.000863555,7.576871,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659666,2.1330507e-05,0.0,0.0,10.0
22,116,0,55.0,5.9159355,150.92657,0.0037676224,0.0005544283,6.753956,319.64844,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659353,2.8090843e-05,0.0,0.0,10.0
90,62,0,38.0,2.9856687,167.61179,0.0011308839,-0.00038076832,7.4404387,125.65823,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658081,5.592975e-05,0.0,0.0,10.0
86,109,0,102.0,9.657892,176.22997,0.00040941316,0.000699229,6.2578588,559.3362,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659855,1.719075e-05,0.0,0.0,10.0
110,120,0,38.0,1.7431514,338.42776,-0.004838765,0.00053393416,7.979165,357.4792,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656258,9.565623e-05,0.0,0.0,10.0
82,34,0,14.0,1.024269,18.235645,-0.006843632,-0.00080269645,12.037443,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
5,105,0,56.0,6.734179,16.516436,0.0015228962,0.00019538071,7.721965,395.97516,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659512,2.4710675e-05,0.0,0.0,10.0
68,22,0,36.0,2.891576,153.70099,-0.00062256155,-0.00015943877,7.472517,176.66953,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658003,5.7600842e-05,0.0,0.0,10.0
