row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
30,57,0,14.0,1.3219213,104.1185,0.0045197126,0.00024097183,8.258698,357.4792,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
30,54,0,13.0,1.4350175,296.70477,-0.0052991486,6.96981e-05,8.176576,368.34998,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65536,0.00011521563,0.0,0.0,10.0
108,37,0,17.0,0.45470867,315.17435,0.02380811,0.00031605386,9.326039,198.86755,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
60,49,0,9.0,1.6058809,52.962585,-0.008596528,1.8809982e-05,8.064028,178.7396,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.279594,0.00010306221,0.0,0.0,50.0
0,30,0,2.0,2.6566439,346.0456,-0.00011912897,-2.683662e-05,8.946476,177.65512,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.57779,6.2500185e-05,0.0,0.0,0.0
82,56,0,16.0,0.45470867,135.17435,-0.015872074,0.00018855027,9.326039,366.37732,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.21967,0.0003643227,0.0,0.0,50.0
69,119,0,27.0,3.284614,11.243065,0.0048269993,9.810463e-05,7.3476167,198.86755,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658325,5.053667e-05,0.0,0.0,10.0
31,23,0,1.0,0.32055113,90.0,-0.033979464,-0.00034429505,9.675665,399.19006,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0005151393,0.0,0.0,90.0
47,65,0,9.0,0.32250783,180.0,-0.005560786,-0.0,9.6695795,281.06937,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
112,40,0,15.0,0.6449952,0.0,0.011121572,-3.167831e-05,8.976433,199.59503,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
100,111,0,17.0,3.4512117,291.9219,-0.0054438403,-0.0002668718,8.68432,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658451,4.784013e-05,0.0,0.0,10.0
22,107,0,12.0,1.0141968,251.4602,-0.00053627713,0.00010334814,8.523761,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
23,0,0,1.0,0.7202462,26.425829,-0.0009983648,4.4607837e-05,9.559219,504.02057,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.50076,0.00023040718,0.0,0.0,0.0
90,68,0,22.0,2.0593116,141.51016,-0.0012799543,0.00017089618,7.81516,252.01028,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656952,8.046446e-05,0.0,0.0,10.0
86,106,0,26.0,3.8774576,355.26514,-0.0022901683,6.1280334e-05,8.279866,126.00514,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65868,4.2826858e-05,0.0,0.0,10.0
69,102,0,16.0,4.6217537,236.1488,-0.00018021507,-0.00020179054,7.698163,126.00514,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659004,3.576269e-05,0.0,0.0,10.0
114,98,0,18.0,3.8943508,279.51904,0.0027288327,0.00037694885,7.1768937,177.65512,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658699,4.2371095e-05,0.0,0.0,10.0
5,112,0,6.0,1.7347963,201.68144,-0.0007496288,-0.00045155603,8.6799135,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.68774,9.565621e-05,0.0,0.0,40.0
68,33,0,10.0,3.8672836,138.53954,0.004282801,-3.807923e-05,7.18389,252.01028,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.76044,4.2826854e-05,0.0,0.0,40.0
72,4,0,8.0,1.3219213,75.881485,-0.008232334,-0.0001561339,8.258698,199.59503,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
117,113,0,29.0,4.190208,212.31346,0.0019192128,0.00026683678,7.103427,198.86755,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65883,3.9560622e-05,0.0,0.0,10.0
6,27,0,-1.0,4.05045,251.4602,-0.0048264945,-0.00053218176,7.1374664,88.82756,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00012497634,0.0,0.0,90.0
37,27,0,11.0,1.6436576,168.75693,-0.0038196254,0.00014226306,8.040764,126.00514,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
101,105,0,12.0,1.3290362,13.954418,0.0007941941,-0.00039908188,8.253328,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
5,57,0,8.0,1.160506,146.47067,0.000715817,-4.692268e-05,8.388969,199.59503,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.54091,0.0001429026,0.0,0.0,30.0
61,28,0,8.0,1.0141968,288.5398,-0.007865397,-0.00042666035,10.921656,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
37,15,0,6.0,0.32055113,270.0,-0.016989732,0.00012519819,9.675665,199.59503,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
74,87,0,23.0,3.6328695,135.17435,-0.0,0.00043710187,7.246598,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658554,4.5561374e-05,0.0,0.0,10.0
100,85,0,19.0,1.8714988,58.882183,-0.002814322,0.00012191499,8.604014,199.59503,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65659,8.8402165e-05,0.0,0.0,10.0
90,100,0,12.0,5.440212,315.17435,-0.0014880067,-1.497245e-05,7.53428,126.00514,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659248,3.0407587e-05,0.0,0.0,10.0
112,48,0,18.0,0.6410822,90.0,0.011326488,0.00018777087,8.982518,282.4411,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
91,118,0,13.0,5.503063,353.3305,0.0029156336,-0.0003116854,6.8295755,126.00514,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659264,3.014173e-05,0.0,0.0,10.0
51,12,0,12.0,1.6436576,11.243065,0.012969937,0.00022571655,8.040764,198.86755,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
40,45,0,14.0,0.32250783,180.0,-0.005560786,0.00028514542,9.6695795,252.01028,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
81,28,0,14.0,1.6058809,307.0374,0.0015302717,0.00014626533,8.064028,88.82756,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
89,69,0,23.0,1.3219213,104.1185,-0.0018563104,0.00013739608,8.258698,282.4411,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.27456,0.00012497633,0.0,0.0,50.0
89,89,0,2.0,0.32250783,180.0,-0.011121573,-0.0,9.6695795,126.00514,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0005151393,0.0,0.0,90.0
15,62,0,4.0,0.7202462,206.42584,0.011980378,-0.0002803466,8.866072,178.7396,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.50076,0.00023040718,0.0,0.0,30.0
108,8,0,8.0,1.0191456,18.330595,-0.016735872,-0.000112206646,10.12833,126.00514,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
92,6,0,7.0,1.9606731,350.59406,-0.0036832648,-0.00021975006,8.962896,320.87515,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,10.0
119,45,0,14.0,1.6058809,307.0374,0.003195568,-5.7453148e-05,8.064028,126.00514,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
113,81,0,15.0,0.32250783,180.0,0.022243144,0.0003801939,9.6695795,198.86755,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.18508,0.00051513937,0.0,0.0,50.0
58,32,0,6.0,0.6449952,0.0,-0.011121572,-0.00022174818,10.075045,368.34998,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
116,106,0,14.0,5.329212,302.89404,0.00060725823,-0.0005849451,7.5550165,126.00514,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659224,3.0977277e-05,0.0,0.0,10.0
43,74,0,8.0,1.0141968,108.5398,-0.016445832,3.841323e-05,9.2169075,397.7351,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
106,28,0,15.0,1.1577934,123.85119,0.008289901,8.4733416e-05,8.39131,321.62708,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
50,92,0,10.0,2.056565,308.83002,-0.0063612172,0.0004462869,7.8164954,198.86755,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.70856,8.046445e-05,0.0,0.0,40.0
7,102,0,14.0,2.8682365,296.70477,0.0022710636,-0.00045675854,8.176576,252.01028,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658003,5.7600842e-05,0.0,0.0,10.0
66,104,0,18.0,2.272399,44.825653,0.00079360383,-3.065247e-05,8.815214,199.59503,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6573,7.286857e-05,0.0,0.0,10.0
124,22,0,11.0,3.2022066,270.0,-0.0011326488,-0.00049847405,7.3730803,89.3698,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.58281,5.1562118e-05,0.0,0.0,0.0
35,3,0,4.0,1.0141968,71.46019,0.0010725543,0.000106549945,8.523761,252.01028,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
0,22,0,-1.0,3.4664178,201.68144,-0.014992584,0.00055504707,9.085379,321.62708,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.54912,0.00012497634,0.0,0.0,0.0
100,56,0,10.0,3.6328695,135.17435,0.0007440035,-0.00014181525,7.939745,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658554,4.5561374e-05,0.0,0.0,10.0
17,13,0,1.0,0.45470867,224.82565,-0.02380811,-0.00012366615,10.424652,321.62708,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
12,119,0,6.0,0.71762127,116.70477,0.017159149,-0.0003091407,8.869723,126.00514,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
41,53,0,14.0,0.71762127,116.70477,-0.0025234034,-6.3047926e-05,8.869723,368.34998,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
3,29,0,2.0,1.3290362,166.04558,-0.0088949725,-0.000109622844,8.253328,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7191,7.286856e-05,0.0,0.0,40.0
95,113,0,33.0,3.9146342,125.156,0.0030486241,0.00013703076,7.1716824,126.00514,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658705,4.225716e-05,0.0,0.0,10.0
27,70,0,17.0,0.6410822,90.0,0.016989732,0.00043813203,8.982518,199.59503,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
17,114,0,5.0,2.0376465,18.330595,-0.006342015,-0.0002156142,9.435183,88.82756,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656904,8.14899e-05,0.0,0.0,10.0
22,78,0,7.0,1.6436576,348.75693,0.007933068,-0.00013395504,8.040764,199.59503,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.56007,0.00010108728,0.0,0.0,30.0
105,18,0,12.0,0.71762127,63.295216,0.0015140425,-5.0253344e-05,9.56287,198.86755,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
60,110,0,11.0,1.7347963,338.31857,0.0018205282,-0.00027616558,8.6799135,88.82756,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656258,9.565623e-05,0.0,0.0,10.0
40,79,0,13.0,1.0191456,341.6694,0.008632188,0.00031963587,8.518892,88.82756,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
17,103,0,12.0,0.9674418,180.0,0.022243144,9.501235e-05,8.570967,252.01028,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652765,0.00017176698,0.0,0.0,10.0
121,86,0,6.0,0.45470867,44.825653,-0.05158424,-2.9971778e-05,9.326039,126.00514,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
104,59,0,18.0,1.3290362,193.95442,0.013739556,0.00015254793,8.253328,199.59503,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
91,82,0,5.0,3.9227717,145.17162,-0.0043860464,-0.00032830637,9.249041,126.00514,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658705,4.225716e-05,0.0,0.0,10.0
121,65,0,19.0,0.7202462,153.57416,0.021964028,0.00013229807,8.866072,320.87515,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
9,94,0,4.0,1.0141968,251.4602,-0.003932699,-0.00011889656,8.523761,88.82756,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
104,50,0,14.0,0.90936005,224.82565,-0.008928042,-7.813244e-05,10.019187,252.01028,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652287,0.00018217335,0.0,0.0,10.0
19,112,0,8.0,2.2427351,270.0,-0.0064722793,-3.1229152e-05,8.422902,89.3698,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,7.359017e-05,0.0,0.0,90.0
13,89,0,8.0,1.6058809,127.037415,-0.0040057115,1.7610688e-05,8.064028,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
39,31,0,13.0,0.71762127,296.70477,0.014635743,9.989878e-05,8.869723,281.06937,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
14,46,0,10.0,0.6410822,270.0,-0.011326488,-3.129514e-05,8.982518,282.4411,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
39,54,0,13.0,1.8182622,224.82565,0.0004960023,-4.7741214e-05,9.038358,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656466,9.109871e-05,0.0,0.0,10.0
47,49,0,13.0,2.2657583,261.82095,-0.0016492557,-0.00015425764,9.511291,126.00514,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6573,7.286857e-05,0.0,0.0,10.0
90,96,0,7.0,5.3607016,252.54646,-0.0006241655,-0.00018933284,8.242238,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.77704,3.0749397e-05,0.0,0.0,40.0
58,117,0,27.0,4.459303,68.84539,0.004505913,5.880624e-05,7.040948,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658947,3.7016e-05,0.0,0.0,10.0
42,116,0,16.0,0.7202462,26.425829,-0.005491007,3.503676e-05,8.866072,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
58,23,0,4.0,0.90936005,224.82565,-0.01884809,-4.8956514e-05,10.019187,199.59503,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
116,65,0,19.0,0.45470867,224.82565,0.021824103,0.00023522101,9.326039,252.01028,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
53,91,0,4.0,0.32055113,90.0,-0.028316224,-0.0003129955,12.160572,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
30,102,0,7.0,1.3638972,315.17435,-0.0112427175,-1.5551379e-05,8.2274275,199.59503,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655073,0.00012140628,0.0,0.0,10.0
56,106,0,12.0,4.2978735,63.295216,0.0022710634,-0.00026159442,7.771111,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658884,3.8383256e-05,0.0,0.0,10.0
35,109,0,4.0,1.4402648,206.42584,-0.005491007,-0.00042725448,11.217447,0.0,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.000115215604,0.0,0.0,90.0
85,68,0,23.0,0.6449952,0.0,0.038925506,0.00015839154,8.976433,252.01028,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
0,41,0,8.0,1.160506,33.52932,-0.004772112,-6.0180686e-05,8.388969,397.7351,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.54091,0.00014290262,0.0,0.0,0.0
119,8,0,12.0,1.6086181,36.70267,-4.477853e-05,-6.1654886e-05,8.062324,198.86755,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
8,15,0,11.0,0.0,0.0,0.0,0.0,11.3974905,320.87515,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,999.0,0.0,0.0,90.0
111,69,0,13.0,0.32055113,90.0,0.011326488,-0.0001877973,10.368813,198.86755,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
3,118,0,9.0,1.6086181,36.70267,4.477877e-05,-3.21372e-05,8.062324,177.65512,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
17,77,0,4.0,0.32250783,0.0,0.027803931,-0.0001267313,9.6695795,126.00514,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.37016,0.00051513925,0.0,0.0,30.0
32,44,0,11.0,1.0141968,288.5398,-0.00071503624,-5.030346e-05,9.2169075,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
26,90,0,8.0,3.0345504,211.84889,0.0014312224,-0.000107105145,7.4269633,88.82756,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658138,5.463845e-05,0.0,0.0,10.0
122,22,0,9.0,1.6344548,101.37717,-0.010586445,-7.689062e-05,9.432676,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
27,14,0,11.0,2.2564116,0.0,0.0063551837,0.0006322137,7.723669,177.65512,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.6421,0.00012881226,0.0,0.0,40.0
79,26,0,14.0,0.32055113,90.0,0.022652976,0.00021909685,9.675665,199.59503,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
58,48,0,10.0,2.8787117,153.57416,-0.0008735689,-0.00030192075,8.172925,88.82756,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658003,5.7600842e-05,0.0,0.0,10.0
58,106,0,7.0,3.0264838,302.1623,-0.003925537,-0.0003232129,8.122777,88.82756,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.58139,5.4638447e-05,0.0,0.0,30.0
37,12,0,7.0,0.71762127,296.70477,0.010598297,0.00018213483,8.869723,252.01028,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
82,35,0,19.0,0.90936005,315.17435,0.027776131,3.994954e-07,8.632893,282.4411,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.652287,0.00018217335,0.0,0.0,10.0
96,31,0,11.0,1.7347963,158.31856,-0.0053901905,-5.7307912e-05,9.596205,177.65512,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656258,9.565623e-05,0.0,0.0,10.0
