row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
2,13,1,1238.0,26.83022,15.394788,0.005502094,0.00056002237,5.167664,475.74316,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,5.7589455e-06,0.99083316,12.668528,10.0
9,17,1,1120.0,30.17589,45.40028,0.0030364199,-0.00033820843,6.1268888,395.4155,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,4.9993564e-06,1.0078694,14.562729,10.0
11,12,1,930.0,17.94802,28.92204,-0.0028198343,0.00014989504,9.224233,0.0,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,8.987194e-06,1.1541507,28.301926,10.0
22,51,1,843.0,14.248837,216.50137,0.0022250856,0.0010993581,5.856681,268.10938,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,1.1493838e-05,1.7,0.0,10.0
24,52,1,833.0,11.363339,113.26657,0.006700929,0.00094258244,6.090649,89.3698,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,1.4418253e-05,1.7,0.0,10.0
52,14,1,808.0,12.3908205,310.18433,0.00660571,-8.303674e-05,6.6947036,125.548035,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,1.3240891e-05,1.7163155,0.019519655,10.0
53,14,1,814.0,11.333297,351.9769,0.004084551,0.0003296563,6.0933666,125.548035,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,1.4608149e-05,1.7519443,0.02445776,10.0
81,127,1,831.0,12.500559,110.98145,0.0015388845,-0.00090082345,5.9924555,444.71283,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,1.30130165e-05,0.0,0.0,10.0
101,81,1,467.0,15.582222,215.57733,-0.021649752,-0.00057758996,10.793492,0.0,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,1.0468393e-05,0.0,0.0,10.0
102,84,1,441.0,18.741154,209.6498,0.00013410074,-0.005857664,7.512881,88.17793,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,8.6074015e-06,0.0,0.0,10.0
106,88,1,425.0,25.913815,225.5547,-0.0015613717,-0.0015373972,6.999617,125.548035,1.1,0.0,35.0,0.0,0.01,3000.0,0.1,0.0,6.0248008e-06,0.0,0.0,10.0
111,80,1,833.0,5.644906,329.37454,-0.0072787264,-0.0009194057,8.186572,564.4749,0.7,0.0,35.0,0.0,0.1,3000.0,0.035,0.0,2.949608e-05,0.0,0.0,30.0
