row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
5,27,1,9.0,0.9615732,90.0,-0.0037956128,-0.00015643897,8.57572,251.67818,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659065,3.4395423e-05,0.0,0.0,10.0
11,113,1,1.0,1.6113691,36.629745,-0.013346466,-6.820365e-05,8.05928,88.59186,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00010306219,0.0,0.0,90.0
12,112,1,9.0,4.9958997,224.74954,0.0041537755,-0.00013963731,6.9254723,88.59186,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00018217333,0.0,0.0,90.0
12,113,1,-2.0,0.6410822,90.0,-0.05408749,-0.00043813203,11.925624,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.46484,0.00025760048,0.0,0.0,40.0
13,111,1,9.0,2.9676974,40.353947,0.0055886256,0.00046569112,7.4479475,125.83909,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00014290263,0.0,0.0,90.0
14,110,1,1.0,0.45531768,44.749535,-0.039731756,-0.00044592598,12.031418,0.0,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00036432274,0.0,0.0,90.0
14,111,1,3.0,3.4204512,40.93782,0.00049964694,-0.00034379045,7.3056674,88.59186,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00023040723,0.0,0.0,90.0
14,112,1,9.0,2.963739,49.151024,0.0011279652,0.0006660233,7.4492846,177.18372,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00014290263,0.0,0.0,90.0
15,109,1,3.0,2.284958,188.06027,-0.0050850846,-0.00017725698,7.7097507,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7191,7.286856e-05,0.0,0.0,40.0
15,110,1,1.0,0.71800727,243.23407,-0.011144143,-5.2549665e-05,8.867852,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
16,64,1,11.0,4.562352,230.46489,-0.0012774256,0.00044529847,7.0166736,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65898,3.6294394e-05,0.0,0.0,10.0
16,109,1,3.0,0.71800727,63.23405,-0.016716216,-4.2562795e-05,8.867852,125.83909,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00023040723,0.0,0.0,90.0
16,110,1,3.0,1.01447,108.58575,0.008439621,-0.00011533028,8.522158,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5951,0.00016295575,0.0,0.0,40.0
17,108,1,1.0,2.2427351,270.0,-0.00081334595,-0.00021860404,7.7284217,88.59186,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.46484,0.00025760048,0.0,0.0,40.0
17,109,1,1.0,2.1531205,243.23407,0.00033770144,-7.513914e-05,7.76924,88.59186,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.6523,0.000121406265,0.0,0.0,40.0
18,90,1,3.0,1.6113691,216.62975,-0.012764238,-0.00014874521,9.85104,125.83909,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,3.8649112e-05,0.0,0.0,90.0
18,108,1,9.0,3.2302666,0.0,0.008319045,0.00025361252,7.3630037,88.59186,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.0005151393,0.0,0.0,90.0
18,109,1,9.0,0.0,0.0,0.0,0.0,11.396157,125.83909,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,0.0,999.0,0.0,0.0,40.0
19,105,1,-2.0,1.9657463,170.61856,-0.015757445,-0.00040576493,9.246658,88.59186,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7027,8.471815e-05,0.0,0.0,40.0
19,106,1,-4.0,3.6095934,10.217042,-0.008825164,-0.00023050595,10.470585,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
19,108,1,1.0,3.6377223,135.25046,-0.007201381,0.0005500538,7.937073,125.83909,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.00036432274,0.0,0.0,90.0
19,109,1,1.0,2.028304,71.41424,-0.01400618,-1.3590667e-05,8.522158,198.44653,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.62274,0.0001429026,0.0,0.0,40.0
20,104,1,7.0,2.7298958,224.74954,0.0056286654,0.00013970822,7.531608,198.44653,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7357,6.0753133e-05,0.0,0.0,40.0
20,107,1,9.0,2.3339329,73.92179,0.013165284,0.00044038147,7.6885204,125.83909,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
20,108,1,1.0,1.9394748,180.0,-0.0036973536,-0.0,7.8738294,178.7396,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,0.000171767,0.0,0.0,90.0
