row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
114,93,0,42.0,3.6165674,349.80292,0.00043213478,3.3051656e-05,7.24877,198.13081,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658527,4.613106e-05,0.0,0.0,10.0
30,13,0,65.0,8.0637455,236.02533,0.0012074125,0.0002910083,6.4416137,319.84805,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659704,2.0456979e-05,0.0,0.0,10.0
108,5,0,75.0,13.133632,114.33245,-0.0022931595,-0.0010518024,6.6358633,89.3698,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60075,1.2405344e-05,0.0,0.0,30.0
59,31,0,57.0,1.0146762,71.37963,0.014414041,-0.00018852243,8.52095,279.8962,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
0,30,0,67.0,2.6431708,284.18173,0.0030116572,0.00046033162,7.562936,321.17206,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.57779,6.2500185e-05,0.0,0.0,0.0
81,33,0,32.0,3.1595378,245.80829,-0.004517143,-0.00034853522,8.482797,88.41501,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658243,5.235969e-05,0.0,0.0,10.0
68,86,0,60.0,2.5903625,0.0,0.00622683,0.0007014209,7.583145,198.13081,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657688,6.443714e-05,0.0,0.0,10.0
30,102,0,57.0,2.6100671,172.95033,0.000824237,-0.00010121923,7.5755568,88.41501,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657711,6.394341e-05,0.0,0.0,10.0
46,122,0,32.0,1.159472,236.02533,-0.022578614,-0.000583075,12.237671,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.62274,0.0001429026,0.0,0.0,40.0
56,119,0,78.0,3.2022066,90.0,-0.007431083,0.00018692778,7.370743,251.4293,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65828,5.156212e-05,0.0,0.0,10.0
100,69,0,113.0,7.5054255,282.39316,0.008765101,0.0011457952,6.514256,398.82355,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659637,2.1938173e-05,0.0,0.0,10.0
22,75,0,55.0,2.7654605,54.170742,-0.0038458079,2.4419156e-05,8.616253,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657896,5.9917587e-05,0.0,0.0,10.0
22,93,0,64.0,6.7316184,95.49872,0.00078833604,-0.0008555938,6.624193,364.7772,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659523,2.4444817e-05,0.0,0.0,10.0
89,87,0,36.0,0.72294223,333.68033,0.02042764,8.720605e-05,8.859998,251.4293,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
110,115,0,50.0,3.0414865,288.62036,-0.014233863,-0.00047669248,10.641214,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65815,5.4334618e-05,0.0,0.0,10.0
68,68,0,27.0,2.513113,229.8915,0.0004854292,-0.0005267164,8.306608,88.41501,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.57619,6.595632e-05,0.0,0.0,30.0
81,0,0,50.0,5.4683003,110.75918,0.00020994725,4.460777e-05,6.8336143,537.96533,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65926,3.017971e-05,0.0,0.0,10.0
5,99,0,66.0,5.170179,0.0,0.00207561,-0.00041069527,6.889998,88.41501,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659168,3.2192616e-05,0.0,0.0,10.0
66,116,0,55.0,1.651032,348.80783,-0.010115854,-0.0007241046,9.643385,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.68024,0.00010108728,0.0,0.0,40.0
70,98,0,60.0,1.4456544,206.31969,-0.008469997,0.0006214342,8.16685,125.71465,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65536,0.00011521563,0.0,0.0,10.0
