row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
30,115,0,91.0,0.9115114,44.691372,-0.00894846,-0.00026921128,10.8254,125.712654,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.52287,0.00018217333,0.0,0.0,30.0
30,112,0,88.0,0.7229609,206.31895,0.013950401,-0.0004943822,9.5531025,125.712654,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
108,13,0,87.0,4.6476064,33.40577,-0.0001788807,0.0007043515,6.9970593,251.42531,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.29502,3.5762674e-05,0.0,0.0,50.0
60,41,0,83.0,0.9115114,315.30862,-0.007954188,1.3483005e-06,9.321322,198.12572,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26144,0.00018217333,0.0,0.0,50.0
0,30,0,103.0,2.267002,0.0,0.00790683,0.00038289273,7.716628,396.25143,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.57268,7.359017e-05,0.0,0.0,30.0
82,8,0,74.0,0.7229609,206.31895,0.007971658,-6.927455e-05,8.859956,364.7661,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
69,83,0,99.0,1.3222916,75.81782,0.0120473355,0.00013485926,8.256064,321.16895,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.27456,0.00012497633,0.0,0.0,50.0
31,79,0,84.0,1.9496778,260.43707,0.0027407822,-2.9283729e-05,7.8675585,198.12572,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,10.0
47,121,0,105.0,2.931244,173.72719,0.0056820363,0.0001507653,7.4593086,353.64865,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658033,5.6879242e-05,0.0,0.0,10.0
58,4,0,100.0,3.6526814,105.41252,0.011801953,0.00066605734,7.238791,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65857,4.5219556e-05,0.0,0.0,10.0
100,76,0,87.0,2.3342967,106.10919,0.0054683303,0.0003437422,7.6873446,279.88812,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7219,7.0817674e-05,0.0,0.0,40.0
23,43,0,103.0,1.7418325,201.5894,0.0118896235,0.00026817428,7.980363,353.64865,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656258,9.565623e-05,0.0,0.0,10.0
23,61,0,92.0,2.765491,54.169865,0.00010658456,0.00018405826,8.21076,268.10938,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28948,5.9917587e-05,0.0,0.0,50.0
115,26,0,83.0,2.7627008,200.35394,-0.0023163483,-7.848195e-05,7.5186243,176.82433,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7363,6.0335366e-05,0.0,0.0,40.0
86,50,0,83.0,2.643176,104.18217,-0.0011396128,-0.0001361241,7.5629177,198.12572,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657778,6.250019e-05,0.0,0.0,10.0
69,66,0,85.0,0.32055113,270.0,-0.022866344,-6.2599094e-05,11.619222,88.41216,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
81,99,0,88.0,2.5627255,90.0,-0.002858293,-0.0003432792,9.539781,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7307,6.443715e-05,0.0,0.0,40.0
6,52,0,112.0,3.3051052,60.682606,0.0065131523,0.0002886108,7.3390303,282.31073,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658348,5.0080926e-05,0.0,0.0,10.0
67,119,0,98.0,2.931244,173.72719,0.0035568653,-0.00028106032,7.4593086,125.712654,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7411,5.687923e-05,0.0,0.0,40.0
71,92,0,96.0,2.583074,82.79861,-0.005538754,8.696743e-05,8.972245,178.7396,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28856,6.39434e-05,0.0,0.0,50.0
86,66,0,87.0,2.7404017,69.24019,-1.8257104e-05,-0.00012526294,7.526741,198.12572,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28938,6.0335355e-05,0.0,0.0,50.0
6,92,0,94.0,2.3342967,73.8908,-0.010729752,-0.00019496711,10.252294,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657396,7.0817674e-05,0.0,0.0,10.0
37,81,0,98.0,0.9115114,44.691372,0.017896922,3.302588e-05,8.628176,251.42531,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26144,0.00018217333,0.0,0.0,50.0
101,73,0,77.0,1.3222916,104.18217,-0.004070046,-0.0005330113,10.740972,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
121,98,0,93.0,1.883367,210.69214,0.0017738173,-0.00034152844,9.000799,251.42531,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.69775,8.8402165e-05,0.0,0.0,40.0
