row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
30,79,0,148.0,19.731218,64.786156,0.00043019338,0.0007223454,6.8987174,319.7009,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660275,8.075689e-06,0.0,0.0,10.0
30,76,0,95.0,21.498444,65.37683,0.00062002294,-0.0008357341,6.805067,178.7396,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60309,7.354078e-06,0.0,0.0,30.0
108,37,0,124.0,5.8508797,173.73116,0.008283078,0.00069350924,6.765212,319.7009,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65934,2.8470633e-05,0.0,0.0,10.0
60,34,0,79.0,12.400904,17.778173,0.0011254457,0.00039058476,6.694878,377.01917,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660036,1.3278868e-05,0.0,0.0,10.0
0,31,0,135.0,8.331758,276.6568,0.0028535882,0.0016103253,6.40813,568.29596,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65974,1.973537e-05,0.0,0.0,10.0
82,28,0,62.0,4.760617,289.86182,0.002507672,-0.00067135814,8.0712185,176.71172,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659056,3.4699257e-05,0.0,0.0,10.0
69,88,0,85.0,8.063466,203.26045,0.0030602608,-0.0013596205,7.1344595,321.10693,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6597,2.0570917e-05,0.0,0.0,10.0
31,42,0,55.0,6.806805,5.378973,-0.0049079987,-0.0002595072,8.692087,265.06757,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659523,2.4444817e-05,0.0,0.0,10.0
47,97,0,63.0,2.154287,63.172546,-0.010677113,0.00011535319,8.460505,265.06757,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65712,7.681844e-05,0.0,0.0,10.0
57,118,0,85.0,5.9184146,49.07539,-0.0037934512,-0.00069822813,8.363092,445.03055,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659363,2.7976903e-05,0.0,0.0,10.0
100,97,0,53.0,2.5138106,130.12741,0.013966106,0.0004634757,7.6128464,279.72803,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657618,6.595632e-05,0.0,0.0,10.0
23,0,0,88.0,16.301771,69.61682,0.0021431188,-0.0007151107,6.815121,377.01917,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60193,9.898701e-06,0.0,0.0,0.0
