row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
62,94,1,1595.0,22.067427,43.632736,0.0011426964,0.0018047636,5.391403,543.491,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660316,7.1641825e-06,0.0,0.0,10.0
95,7,1,1776.0,13.152957,59.530552,0.0037506288,0.0032135241,5.9423065,736.5957,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660074,1.2405345e-05,0.0,0.0,10.0
95,9,1,1798.0,12.41471,1.4563394,0.018660596,-0.0005412185,6.002033,797.9954,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660036,1.3240891e-05,0.0,0.0,10.0
96,6,1,1738.0,35.348427,80.38324,0.0014289794,0.0030598848,5.5251226,694.5102,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660458,4.0878504e-06,0.0,0.0,10.0
96,7,1,1744.0,32.983727,76.93529,-0.001076734,0.0028074642,5.6139755,714.9584,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66044,4.4676453e-06,0.0,0.0,10.0
96,8,1,1764.0,31.926477,67.64471,-0.0005497082,0.0027304902,5.654729,714.9584,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66043,4.657543e-06,0.0,0.0,10.0
96,9,1,1786.0,28.096706,64.32057,0.00072155514,0.0031765506,5.80925,720.42865,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660397,5.41713e-06,0.0,0.0,10.0
97,6,1,1637.0,50.44311,78.438705,0.00017513229,0.00016518938,5.39597,625.58856,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60533,2.4167564e-06,0.0,0.0,30.0
97,7,1,1663.0,47.04294,76.94307,-0.0007566505,0.0005037611,5.5157514,625.58856,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60521,2.7205917e-06,0.0,0.0,30.0
97,8,1,1680.0,43.61942,73.133385,-0.0013185781,0.0004835012,5.635334,625.58856,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60503,3.0624058e-06,0.0,0.0,30.0
97,9,1,1712.0,43.16935,65.85573,-0.00096582307,0.00056672515,5.245604,631.83307,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60503,3.1003858e-06,0.0,0.0,30.0
98,6,1,1526.0,38.930466,75.848404,-0.0025409122,-0.0022474711,6.088276,536.21875,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60481,3.5561384e-06,0.0,0.0,30.0
98,8,1,1601.0,40.01392,59.281612,-0.0015000751,-0.00061401166,5.7620564,536.21875,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60484,3.4801797e-06,0.0,0.0,30.0
99,4,1,1475.0,26.298784,76.79994,-0.00059998996,-0.00037389362,6.802756,396.96237,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660378,5.8728833e-06,0.0,0.0,10.0
99,5,1,1486.0,22.334558,72.41262,-0.0025280467,-0.0009919147,6.987514,446.84897,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66032,7.0502447e-06,0.0,0.0,10.0
99,6,1,1497.0,20.756096,60.572216,-0.004124978,-0.0014999212,7.068201,446.84897,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60295,7.657915e-06,0.0,0.0,30.0
99,7,1,1519.0,24.782633,48.703167,-0.0031766887,-0.0018934608,6.647652,446.84897,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60358,6.2906556e-06,0.0,0.0,30.0
99,8,1,1551.0,30.116474,44.75581,-0.0013061104,-0.0012578343,6.419423,446.84897,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60417,4.9993555e-06,0.0,0.0,30.0
99,9,1,1592.0,31.168474,48.521816,0.00099618,-0.00078048796,6.377548,455.55017,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60425,4.8094594e-06,0.0,0.0,30.0
99,10,1,1622.0,31.343706,64.187065,0.0021609194,-0.00096416776,6.082971,480.70972,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60425,4.7714793e-06,0.0,0.0,30.0
