row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
18,54,1,855.0,10.676002,141.44792,0.0044519785,-0.001141779,6.8477554,125.548035,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659937,1.5443697e-05,0.0,0.0,10.0
46,19,1,805.0,16.668512,211.54677,-0.002192057,-0.0016656624,6.3851175,88.17793,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660196,9.746785e-06,0.0,0.0,10.0
48,17,1,822.0,16.36336,82.23082,-0.0003631425,4.1898413e-05,5.711512,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660192,9.860722e-06,0.0,0.0,10.0
49,21,1,864.0,17.268412,227.55281,0.0063445303,0.0011808478,5.654458,197.70775,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660215,9.3669905e-06,0.0,0.0,10.0
50,7,1,838.0,10.7137785,171.49756,-0.0017570027,-0.0010828347,6.8441396,88.17793,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659933,1.5481677e-05,0.0,0.0,10.0
107,2,1,433.0,28.72803,230.87233,-0.0006131902,-0.0013440369,6.1859207,125.548035,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60399,5.341171e-06,0.0,0.0,30.0
107,3,1,405.0,19.86246,243.92825,-0.0017431244,-0.0015806236,8.499953,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660278,8.037709e-06,0.0,0.0,10.0
109,7,1,379.0,25.243288,220.74072,-0.00022358594,-0.0018684599,6.6242046,125.548035,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66036,6.214697e-06,0.0,0.0,10.0
109,62,1,163.0,23.098383,296.874,0.0032690926,-0.0024123404,6.0313306,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66033,6.8223685e-06,0.0,0.0,10.0
109,63,1,176.0,26.800318,279.69357,0.003950076,-0.00091395044,5.1689606,125.548035,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660378,5.7589455e-06,0.0,0.0,10.0
109,64,1,178.0,24.660822,249.76857,0.005796237,-0.0005240088,5.26449,197.70775,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60356,6.328636e-06,0.0,0.0,30.0
109,65,1,148.0,20.535149,223.39697,0.0033331865,-0.0026316708,6.1611333,176.35587,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60289,7.771853e-06,0.0,0.0,30.0
110,19,1,307.0,30.138266,231.31213,0.0032096282,-0.0017568547,6.639226,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660416,4.9993564e-06,0.0,0.0,10.0
110,60,1,148.0,20.748158,295.72644,0.00026192292,-0.0021817111,6.555329,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660294,7.657915e-06,0.0,0.0,10.0
111,51,1,165.0,2.8957028,333.74142,-0.018289924,-0.00089284114,8.568807,197.70775,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658003,5.7600842e-05,0.0,0.0,10.0
111,52,1,169.0,4.5544486,315.3846,-0.004380398,-0.0013872905,7.7092075,125.548035,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658974,3.6446316e-05,0.0,0.0,10.0
113,22,1,254.0,13.714287,219.93504,-0.0018581294,-0.0043262932,9.263775,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660097,1.191161e-05,0.0,0.0,10.0
113,39,1,197.0,17.593893,127.443726,-8.399038e-05,-0.0017216133,6.3277283,88.17793,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60225,9.177092e-06,0.0,0.0,30.0
113,68,1,141.0,18.850824,213.8589,0.00097076717,-0.0020959477,7.170133,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660252,8.569423e-06,0.0,0.0,10.0
114,23,1,262.0,20.425682,231.37099,0.0014507214,-0.0037538714,8.518337,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660288,7.809834e-06,0.0,0.0,10.0
114,40,1,186.0,11.733662,265.30215,-0.0012133768,-0.0021455875,9.554202,0.0,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60008,1.39245185e-05,0.0,0.0,30.0
114,41,1,184.0,13.530415,268.64978,-0.00050368113,-0.0027108556,7.5199375,88.17793,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60094,1.2025547e-05,0.0,0.0,30.0
115,24,1,271.0,24.755238,232.05902,-0.001951569,-0.0019332485,7.457375,88.17793,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660355,6.328636e-06,0.0,0.0,10.0
115,25,1,254.0,19.72488,255.3425,-0.0034434262,-0.0025965835,8.689811,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660275,8.075689e-06,0.0,0.0,10.0
115,26,1,255.0,21.158592,255.57826,0.001080745,-0.0026186388,5.435266,88.17793,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6603,7.5059975e-06,0.0,0.0,10.0
115,27,1,237.0,14.166974,237.37607,0.0041022,-0.004730157,7.942127,88.17793,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660116,1.1493838e-05,0.0,0.0,10.0
115,38,1,203.0,14.406815,281.4588,-0.0011205025,-0.0024534285,7.636941,88.17793,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66013,1.1227982e-05,0.0,0.0,10.0
116,24,1,309.0,25.862024,235.02841,-0.0042691636,-0.0007534009,7.2896004,125.548035,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660368,6.0248008e-06,0.0,0.0,10.0
116,28,1,235.0,22.303654,225.17166,-0.00283915,-0.003798418,7.4565887,88.17793,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.6032,7.1262025e-06,0.0,0.0,30.0
116,31,1,218.0,13.071718,289.99274,-0.00012623046,-0.0043008444,6.6394067,88.17793,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660072,1.2481302e-05,0.0,0.0,10.0
