row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
0,2,1,1953.0,24.154663,93.607315,-0.0013124167,-0.00034544425,5.2903686,878.9445,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60349,6.4805536e-06,0.0,0.0,0.0
1,2,1,1913.0,22.23308,92.3737,-0.0019215968,-0.00070317107,6.7693553,797.97565,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.6032,7.088224e-06,0.0,0.0,30.0
2,2,1,1880.0,16.415598,104.41934,-0.005101674,-0.0005693997,7.9077697,718.9998,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60196,9.7847615e-06,0.0,0.0,30.0
3,2,1,1862.0,15.3964405,123.59438,-0.0016476697,3.3637356e-05,6.876668,642.75214,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60164,1.0506371e-05,0.0,0.0,30.0
5,3,1,1813.0,13.054461,81.60304,0.001853342,0.00050834165,5.950029,445.4674,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60074,1.24813005e-05,0.0,0.0,30.0
6,2,1,1786.0,13.402305,80.45698,0.0006029771,-0.00044818796,6.615921,444.38986,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60088,1.2139486e-05,0.0,0.0,30.0
7,1,1,1768.0,11.436326,75.459236,0.0048621492,3.973516e-06,6.086476,368.2952,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.59988,1.4304314e-05,0.0,0.0,30.0
7,2,1,1765.0,12.860097,101.40561,0.0012975391,-9.337792e-05,5.9655533,396.9226,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660065,1.263322e-05,0.0,0.0,10.0
8,2,1,1746.0,10.81175,95.08601,0.0011887961,-0.00047953476,6.144073,321.37607,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.59949,1.5139859e-05,0.0,0.0,30.0
9,1,1,1725.0,11.733297,85.32444,-0.001822015,-0.0006493501,9.525864,199.49391,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60008,1.39245185e-05,0.0,0.0,30.0
12,0,1,1709.0,13.74946,306.8446,-0.0037586095,-0.0014630657,7.687978,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660103,1.1835652e-05,0.0,0.0,10.0
12,1,1,1722.0,16.593481,314.48383,-0.0017448192,-0.0011813254,6.3922944,125.84491,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660196,9.746785e-06,0.0,0.0,10.0
14,91,1,1934.0,11.138204,255.05048,0.0041802092,-0.0007930188,6.1135855,178.7396,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.59972,1.4684106e-05,0.0,0.0,30.0
14,92,1,1929.0,11.480126,221.38759,0.0063543906,0.00010578367,7.1811614,178.7396,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.59988,1.4304314e-05,0.0,0.0,30.0
15,91,1,1952.0,18.24959,248.93655,0.0029060836,-0.0010504199,6.2910385,268.10938,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60242,8.797297e-06,0.0,0.0,30.0
