row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
79,53,1,25.0,4.235076,188.69096,0.003844491,-2.9546559e-06,7.092565,198.81299,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658848,3.92188e-05,0.0,0.0,10.0
81,54,1,18.0,2.918713,186.2999,0.0006589465,-0.00028733982,9.411692,125.98361,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658033,5.6879242e-05,0.0,0.0,10.0
82,54,1,21.0,1.2902706,180.0,-0.008338312,6.336402e-05,8.282769,199.58144,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654736,0.00012881226,0.0,0.0,10.0
83,82,1,45.0,11.537397,232.63776,0.0030450295,0.00036470935,6.0785503,125.98361,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659994,1.4190376e-05,0.0,0.0,10.0
92,98,1,28.0,5.954605,233.57031,-0.0057530985,0.00034402945,9.052601,125.98361,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659372,2.7749025e-05,0.0,0.0,10.0
93,99,1,36.0,6.511502,258.61902,0.0019221725,0.00034257383,6.659901,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659485,2.5280367e-05,0.0,0.0,10.0
94,100,1,45.0,8.82945,244.215,0.0050545293,0.00043319247,6.351737,280.98248,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65979,1.8633971e-05,0.0,0.0,10.0
95,101,1,45.0,14.038597,225.72527,-0.0004354264,0.0004508676,6.56883,177.59404,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660112,1.1569796e-05,0.0,0.0,10.0
96,9,1,6.0,3.894387,99.52224,-0.006228863,-0.000764546,9.256153,88.79702,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658699,4.2371095e-05,0.0,0.0,10.0
98,12,1,12.0,4.361319,233.79721,-0.0015011311,-0.00078918337,7.7562284,251.96722,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658905,3.792751e-05,0.0,0.0,10.0
98,13,1,8.0,2.265774,261.81818,-0.006665515,-0.0010528988,10.552566,320.79907,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6573,7.286857e-05,0.0,0.0,10.0
100,36,1,17.0,5.3439126,147.43211,0.005783945,-0.001500539,7.552073,198.81299,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659224,3.0977277e-05,0.0,0.0,10.0
106,118,1,56.0,5.865707,189.40277,0.010626194,0.001776821,6.7651644,357.4792,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65935,2.8242763e-05,0.0,0.0,10.0
35,41,0,78.0,1.2820039,270.0,0.028335704,0.00075066055,8.289199,368.3426,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654736,0.00012881226,0.0,0.0,10.0
70,68,0,28.0,1.157917,123.8603,-0.013701394,0.0004668862,8.391031,177.59404,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
11,75,0,49.0,1.9494451,260.47775,-0.006266613,-0.0011980253,8.968472,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656755,8.471815e-05,0.0,0.0,10.0
104,43,0,99.0,1.9349972,0.0,0.030573808,0.0015192922,7.8773036,445.01822,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656706,8.5857544e-05,0.0,0.0,10.0
110,20,0,32.0,2.160424,333.58203,-0.017136207,0.00014734757,8.460158,280.98248,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65712,7.681844e-05,0.0,0.0,10.0
33,15,0,69.0,1.1607832,326.47974,-0.036386292,-1.3542446e-05,9.997996,280.98248,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
111,46,0,99.0,1.606081,232.95312,-0.0021610619,0.00019043426,8.06373,366.25882,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.655918,0.00010306223,0.0,0.0,10.0
42,96,0,97.0,1.1607832,326.47974,-0.03924948,0.0009552512,9.081705,198.81299,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
43,6,0,88.0,2.265774,98.18182,0.024947612,-2.556903e-06,7.719352,266.39105,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6573,7.286857e-05,0.0,0.0,10.0
3,10,0,27.0,1.8773382,30.801477,-0.0047346163,-0.0006583868,8.600724,251.96722,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65659,8.8402165e-05,0.0,0.0,10.0
33,63,0,26.0,1.3219484,104.12316,-0.036018837,-0.0008331783,11.349548,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
103,58,0,54.0,1.4406618,206.41798,0.023957413,0.0019784914,8.172477,125.98361,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65536,0.00011521563,0.0,0.0,10.0
70,59,0,21.0,1.8773382,329.19852,-0.003184594,-0.0007484507,8.600724,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65659,8.8402165e-05,0.0,0.0,10.0
