row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
26,67,0,24.0,3.033431,237.62924,0.0013070999,-0.0005436763,8.116429,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658138,5.463845e-05,0.0,0.0,10.0
30,33,0,34.0,7.590662,35.998104,0.0045947335,0.000448025,6.501118,125.50346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659643,2.1862217e-05,0.0,0.0,10.0
6,49,0,17.0,0.72492373,206.24223,0.0039802957,0.00030465407,8.855547,197.59453,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
88,123,0,31.0,3.8545432,94.831184,0.0037631502,-0.00033885217,7.183149,89.3698,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.5868,4.2826854e-05,0.0,0.0,30.0
84,116,0,35.0,2.781402,144.84479,0.0045353025,0.0006066096,7.5101705,199.2787,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28948,5.9917587e-05,0.0,0.0,50.0
39,37,0,15.0,1.4496155,153.75777,-0.0057216748,0.00014914032,8.1624,197.59453,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65536,0.00011521563,0.0,0.0,10.0
11,122,0,33.0,2.0631187,129.05577,-0.002673361,-5.6497614e-05,7.8092604,88.11446,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656952,8.046446e-05,0.0,0.0,10.0
43,115,0,16.0,1.1607081,55.93484,0.007876585,-0.0001237188,8.384745,197.59453,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
50,121,0,14.0,0.7187978,243.10938,0.018883608,-4.4606917e-05,8.864035,199.2787,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
41,61,0,19.0,4.7850676,47.322628,-10.0,1.0266855,7.6592298,125.50346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659056,3.4699257e-05,0.0,0.0,10.0
0,35,0,11.0,0.3251178,180.0,-0.0,9.659306e-05,9.657469,176.22893,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.37016,0.00051513925,0.0,0.0,0.0
58,76,0,16.0,1.1670383,326.68298,0.009418102,3.082014e-05,8.379304,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
67,101,0,17.0,1.0150294,108.679474,-0.0034431284,-0.0004074217,10.916785,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
4,37,0,14.0,1.1670383,326.68298,0.008225936,0.00018201269,8.379304,89.3698,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.270454,0.00014290263,0.0,0.0,50.0
17,78,0,21.0,3.3865056,196.4775,-0.00085607276,-0.00014000521,8.006095,88.11446,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65838,4.9397288e-05,0.0,0.0,10.0
1,35,0,11.0,0.0,0.0,0.0,0.0,11.39344,197.59453,1.7,0.0,35.0,0.033835303,0.01,3000.0,0.1,0.0,999.0,0.0,0.0,10.0
57,57,0,17.0,1.4373695,63.109367,-0.0035725744,8.7764034e-05,8.170887,352.45786,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65536,0.00011521563,0.0,0.0,10.0
17,71,0,19.0,2.8973775,206.24223,0.0075874384,9.322597e-05,7.4692526,125.50346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658003,5.7600842e-05,0.0,0.0,10.0
71,95,0,18.0,2.3331091,33.31701,0.0028611952,-0.0001162839,8.784769,125.50346,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657368,7.146334e-05,0.0,0.0,10.0
42,86,0,25.0,3.0522566,31.642242,-0.00060494617,0.00079177925,7.4170837,197.59453,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658138,5.463845e-05,0.0,0.0,10.0
77,106,0,25.0,4.7970767,90.0,0.0034531674,-0.00021681268,6.9635644,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659065,3.4395423e-05,0.0,0.0,10.0
97,93,0,6.0,89.691925,359.99484,0.005516145,1.6396456e-07,1.339491,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660643,6.2032626e-08,0.0,0.0,10.0
30,107,0,43.0,0.6502147,180.0,0.08274217,0.00080482557,8.964321,251.00693,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.648827,0.00025760045,0.0,0.0,10.0
76,100,0,17.0,2.992777,12.358266,0.0018407871,-6.4672524e-05,7.4368,197.59453,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658081,5.592975e-05,0.0,0.0,10.0
3,93,0,10.0,2.768691,125.92189,0.0015148951,-6.1462747e-06,8.901052,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657896,5.9917587e-05,0.0,0.0,10.0
