row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
28,104,0,35.0,4.1841927,147.63423,0.0059409165,-0.0003385127,7.1058807,89.00714,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65883,3.9560622e-05,0.0,0.0,10.0
28,101,0,46.0,3.156025,114.049065,0.011366032,3.6393053e-06,7.388649,199.18846,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.29122,5.235968e-05,0.0,0.0,50.0
103,80,0,11.0,0.64369404,0.0,-0.041790213,-0.0002839557,12.91129,0.0,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.24413,0.00025760045,0.0,0.0,50.0
56,97,0,27.0,1.0172933,198.36517,-0.008997283,-0.0011932824,11.412096,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
0,29,0,35.0,4.5330877,224.88351,-0.006342518,0.0006196493,8.124094,89.00714,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.58974,3.6446312e-05,0.0,0.0,0.0
77,72,0,41.0,2.2518637,0.0,0.019900102,0.00012593424,7.7267013,178.7396,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28634,7.3590185e-05,0.0,0.0,50.0
107,105,0,40.0,5.2507095,52.318756,0.0029805414,0.0008776857,6.877806,268.10938,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.29601,3.143303e-05,0.0,0.0,50.0
29,62,0,64.0,4.9826775,14.873515,0.0065881032,0.00036306182,6.930482,199.18846,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.295616,3.321806e-05,0.0,0.0,50.0
44,123,0,48.0,4.2961307,243.34166,0.0056197457,0.00026700148,7.0793834,378.3954,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.294426,3.838326e-05,0.0,0.0,50.0
112,78,0,9.0,2.3131957,303.79767,-0.00893136,-7.953897e-05,8.392948,89.3698,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28684,7.146333e-05,0.0,0.0,50.0
95,78,0,21.0,2.651603,193.98154,-0.00055686315,-0.00041466817,8.256243,89.3698,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.288895,6.250019e-05,0.0,0.0,50.0
21,80,0,44.0,3.0247579,237.88983,2.0084404e-05,-0.00025118346,8.124361,126.1318,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658138,5.463845e-05,0.0,0.0,10.0
21,97,0,50.0,2.3168123,326.4174,0.0022671334,-0.0004992,8.391384,126.1318,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657368,7.146334e-05,0.0,0.0,10.0
85,24,0,15.0,1.3217627,75.90884,-0.00321651,1.10931205e-05,8.952978,199.67502,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
81,89,0,50.0,4.2090464,278.78125,0.0020246082,6.979561e-05,7.0999374,356.02856,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658848,3.92188e-05,0.0,0.0,10.0
65,78,0,37.0,3.4728544,33.582626,0.0013523273,-0.00045567253,7.985919,281.58017,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65846,4.7650243e-05,0.0,0.0,10.0
77,40,0,24.0,10.853713,5.022094,0.0018734047,0.00037427328,6.1424046,178.01428,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659948,1.513986e-05,0.0,0.0,10.0
5,70,0,45.0,4.5951858,24.686613,-0.0035936988,-0.0003689913,8.110431,178.01428,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.29497,3.6028538e-05,0.0,0.0,50.0
64,16,0,16.0,1.6343267,258.6452,-0.012544938,7.383407e-05,9.65691,446.84897,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
67,92,0,64.0,1.7317762,158.27881,0.026697159,0.00044757675,7.9895225,199.67502,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656258,9.565623e-05,0.0,0.0,10.0
81,104,0,36.0,3.409538,311.30142,0.00709961,0.00032853775,7.3112164,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65842,4.8485796e-05,0.0,0.0,10.0
5,108,0,41.0,2.5929894,172.9036,-0.010868644,-0.00079634873,10.29353,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657711,6.394341e-05,0.0,0.0,10.0
35,26,0,31.0,2.2745183,351.90247,-0.0034207676,-0.00046133704,8.815293,89.00714,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6573,7.286857e-05,0.0,0.0,10.0
96,80,0,25.0,4.285268,12.943665,0.0036131726,-0.00042646145,7.0819244,199.67502,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.29436,3.864912e-05,0.0,0.0,50.0
5,19,0,41.0,2.8825557,90.0,0.0075205537,0.00081074133,7.479453,252.2636,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.29011,5.722105e-05,0.0,0.0,50.0
57,68,0,20.0,2.0549364,128.7735,-0.029828884,-5.9249884e-05,10.216196,199.18846,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.28476,8.0464444e-05,0.0,0.0,50.0
121,84,0,6.0,1.0139902,108.504944,-0.0055225682,-0.0003105552,8.524977,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.653168,0.00016295575,0.0,0.0,10.0
106,34,0,13.0,0.90843785,44.88351,0.018829355,0.00023524894,8.634919,368.3933,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.26144,0.00018217333,0.0,0.0,50.0
95,54,0,21.0,0.32055113,90.0,-0.005640416,-0.0,9.676678,321.3227,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.18508,0.00051513937,0.0,0.0,50.0
85,55,0,11.0,2.9004087,83.63418,-0.001443042,-0.0006139121,7.473268,89.00714,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658033,5.6879242e-05,0.0,0.0,10.0
15,91,0,87.0,4.2961307,296.65836,0.0065423907,0.0005417173,7.0793834,126.1318,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658884,3.8383256e-05,0.0,0.0,10.0
