row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
30,55,0,3.0,1.4447397,206.33763,-0.02467061,-7.074729e-05,9.777318,88.48472,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.66077,0.000115215626,0.0,0.0,40.0
30,52,0,8.0,2.0285535,108.606705,-0.0021592204,7.445095e-05,7.82828,353.93887,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656904,8.14899e-05,0.0,0.0,10.0
108,19,0,-6.0,0.32055113,90.0,-0.028536074,-0.00012519819,12.238673,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
60,2,0,-3.0,0.32055113,90.0,-0.09131543,-0.0,9.673724,365.04752,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.11053,0.00051513925,0.0,0.0,40.0
0,30,0,13.0,2.3174255,56.046234,-0.0076003238,-4.165478e-06,7.6950183,198.25525,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.57368,7.146333e-05,0.0,0.0,0.0
82,2,0,-3.0,3.9196541,305.26038,-0.009429973,-0.0003319393,7.861603,199.44269,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7612,4.225716e-05,0.0,0.0,40.0
69,61,0,16.0,1.6183738,0.0,0.009970782,-0.0,8.054333,268.10938,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.279594,0.00010306221,0.0,0.0,50.0
31,18,0,26.0,2.7607126,200.36928,0.011971079,0.00017775362,7.5197577,199.44269,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657875,6.0335366e-05,0.0,0.0,10.0
47,68,0,2.0,1.7405984,158.39452,-0.008155837,-0.00022513533,10.284069,88.48472,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656258,9.565623e-05,0.0,0.0,10.0
57,85,0,5.0,3.2499487,185.65442,-0.0007860756,-0.0001761359,8.454921,88.48472,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658293,5.129627e-05,0.0,0.0,10.0
100,81,0,23.0,2.4435928,246.59424,0.0005529955,1.0191543e-05,7.641945,125.76369,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.287704,6.766539e-05,0.0,0.0,50.0
22,104,0,42.0,5.010023,194.79007,0.0068878355,-0.00047750774,6.922027,280.0944,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.295616,3.321806e-05,0.0,0.0,50.0
22,122,0,12.0,3.571135,354.85675,0.0012170656,-0.0003319743,7.2618413,88.48472,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658504,4.666277e-05,0.0,0.0,10.0
90,7,0,16.0,4.9384456,348.79922,0.0019799666,0.00039856345,7.629637,198.25525,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6591,3.367382e-05,0.0,0.0,10.0
86,47,0,14.0,1.2820039,90.0,0.0028536073,0.00012511006,8.28743,198.25525,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.273674,0.00012881224,0.0,0.0,50.0
119,66,0,2.0,4.623482,11.978452,-0.0015627713,-0.0002846564,8.794458,125.76369,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658993,3.6028534e-05,0.0,0.0,10.0
114,87,0,5.0,2.7647152,305.80783,0.0062302267,-0.00067537016,8.211453,125.76369,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.57896,5.9917587e-05,0.0,0.0,30.0
5,106,0,77.0,12.262799,143.69945,0.007632025,-0.0011056687,7.1126285,176.96944,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660032,1.3354829e-05,0.0,0.0,10.0
67,96,0,7.0,1.3222265,284.17102,-0.0118668005,-0.00029934684,9.865964,125.76369,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
71,72,0,23.0,1.1591868,123.95376,0.0028953615,3.52955e-05,8.388165,357.4792,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.270454,0.00014290263,0.0,0.0,50.0
86,63,0,8.0,0.6474941,180.0,0.0027696614,-0.0,8.970624,198.25525,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.24413,0.00025760045,0.0,0.0,50.0
6,23,0,3.0,3.7510283,110.16695,0.0029011408,-3.2231357e-05,7.2125607,265.45416,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.66077,0.000115215626,0.0,0.0,40.0
37,21,0,1.0,4.040822,331.62863,-0.016913801,-0.0001289072,10.356789,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7072,8.14899e-05,0.0,0.0,40.0
101,78,0,22.0,1.1591868,56.046234,-0.007479684,-6.897652e-05,9.081313,396.5105,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.270454,0.00014290263,0.0,0.0,50.0
5,53,0,10.0,1.3338851,13.902652,0.0030083102,-0.0003577595,8.247745,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654911,0.00012497634,0.0,0.0,10.0
121,90,0,5.0,1.8822254,329.28723,-0.024584433,8.659227e-05,10.301102,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65659,8.8402165e-05,0.0,0.0,10.0
37,9,0,12.0,2.2659361,81.78967,0.0023069775,0.00013003482,8.410659,176.96944,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.6573,7.286857e-05,0.0,0.0,10.0
119,68,0,14.0,0.45559573,44.714874,0.033791862,8.188996e-05,9.322149,280.0944,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.643934,0.0003643228,0.0,0.0,10.0
100,56,0,15.0,0.32055113,270.0,-0.039950505,-6.2599094e-05,9.673724,251.52737,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.18508,0.00051513937,0.0,0.0,50.0
90,39,0,3.0,5.9225764,202.18008,-0.0054126987,-0.00069192407,8.363116,88.48472,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659332,2.8584573e-05,0.0,0.0,10.0
112,35,0,4.0,3.5216577,90.0,-0.0031130263,0.00021786826,7.275829,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.658497,4.685267e-05,0.0,0.0,10.0
91,57,0,3.0,2.666326,13.902652,-0.003641639,-2.0665737e-05,10.732651,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657778,6.250019e-05,0.0,0.0,10.0
50,121,0,13.0,1.3665569,315.28513,-0.009276197,-0.00022051405,10.996125,0.0,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.275375,0.000121406265,0.0,0.0,50.0
40,39,0,13.0,1.2820039,90.0,0.019975252,-0.0,8.28743,251.52737,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.654736,0.00012881226,0.0,0.0,10.0
80,106,0,19.0,0.72248465,206.33763,-0.014453488,-0.00010005026,11.6336155,0.0,0.3,0.0,35.0,0.033835303,0.05,3000.0,0.015,88.25038,0.00023040718,0.0,0.0,50.0
89,9,0,15.0,2.3263037,213.42738,0.0028026719,-0.00011043562,7.6911907,265.45416,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657368,7.146334e-05,0.0,0.0,10.0
89,28,0,13.0,0.72248465,333.66238,0.026414996,-1.9459678e-05,8.861027,268.10938,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.650076,0.00023040721,0.0,0.0,10.0
15,60,0,13.0,2.74012,110.744225,0.007913104,0.00016101879,7.5272565,265.45416,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657875,6.0335366e-05,0.0,0.0,10.0
107,114,0,24.0,1.1636314,33.427376,-0.0041741915,0.00030999456,8.384337,280.0944,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
91,70,0,20.0,0.32055113,270.0,0.051364932,6.25991e-05,9.673724,265.45416,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.637016,0.00051513937,0.0,0.0,10.0
20,43,0,10.0,2.7647152,305.80783,0.004011485,-7.145645e-06,7.5183067,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657896,5.9917587e-05,0.0,0.0,10.0
