row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
0,8,1,2.0,5.4750433,207.83714,-0.0071863006,0.00055097096,9.030011,88.48762,0.1,0.0,35.0,0.033835303,0.0,3000.0,0.05,0.0,3.0331623e-05,0.0,0.0,90.0
0,9,1,-5.0,8.282522,267.77548,-0.004069605,0.0006844656,9.248103,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.79205,1.9849307e-05,0.0,0.0,40.0
0,10,1,1.0,5.2056527,280.72308,-0.0014404901,0.0006255049,6.8835354,88.48762,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.77576,3.169888e-05,0.0,0.0,40.0
0,12,1,-2.0,10.155158,271.80774,-0.00039231623,0.0014390554,6.2075067,265.46286,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.64734,0.00012497634,0.0,0.0,40.0
0,14,1,-3.0,0.0,0.0,0.0,0.0,13.475007,321.25204,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,0.0,999.0,0.0,0.0,40.0
0,15,1,-1.0,1.6183207,0.0,0.002215802,-0.00022323037,8.74753,282.33438,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.67755,0.0001030622,0.0,0.0,40.0
1,8,1,6.0,1.9496319,260.44507,-0.012566724,0.000390155,9.254305,125.76573,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7027,8.471815e-05,0.0,0.0,40.0
1,9,1,8.0,4.8934965,281.41974,0.0025797945,0.0007134367,6.945695,89.3698,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.773,3.3673812e-05,0.0,0.0,40.0
1,12,1,14.0,2.5830398,262.8047,0.0174594,0.0010384383,7.586393,280.10263,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7314,6.394341e-05,0.0,0.0,40.0
1,13,1,1.0,5.5695286,189.91116,0.0019152287,-2.9211542e-05,7.9141827,320.0287,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.6523,0.000121406265,0.0,0.0,40.0
1,14,1,-3.0,0.9111189,224.71582,-0.011926347,-0.00044809846,10.574945,251.53146,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
1,15,1,-1.0,0.72246575,26.338375,0.005482431,-0.00058047444,8.86107,199.44397,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
2,12,1,6.0,3.1801302,156.24774,-0.0016081878,0.00030890945,8.071235,320.0287,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7666,3.8345283e-05,0.0,0.0,40.0
2,13,1,2.0,2.265071,180.0,0.0031654313,-0.00015926728,7.7179103,280.10263,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7181,7.359017e-05,0.0,0.0,40.0
3,16,1,-3.0,7.2506127,315.28418,-0.0021119579,-1.4538496e-05,9.84543,0.0,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.56866,0.00018217333,0.0,0.0,40.0
4,13,1,1.0,2.5882401,180.0,-0.00069243804,-0.000254645,8.277526,280.10263,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.7307,6.443715e-05,0.0,0.0,40.0
5,13,1,1.0,1.6183207,180.0,-0.0144027155,-0.0004783508,8.054382,199.44397,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.67755,0.0001030622,0.0,0.0,40.0
5,14,1,1.0,5.683074,317.5738,-0.0024439138,-0.00022607883,6.795258,251.53146,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.5023,0.00023040718,0.0,0.0,40.0
6,13,1,1.0,5.9018097,315.28418,0.004434156,-0.0008515941,6.7572327,125.76573,1.4,0.0,35.0,0.033835303,0.3,3000.0,0.04,529.31805,0.00036432277,0.0,0.0,40.0
