row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
22,107,1,575.0,7.6741714,274.80087,0.0059845326,-0.0004667982,6.493227,251.79341,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659662,2.1444439e-05,0.0,0.0,10.0
23,123,1,624.0,25.569305,207.88686,-0.0027773385,-0.0014332654,6.61234,88.67367,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660364,6.10076e-06,0.0,0.0,10.0
24,123,1,656.0,31.190166,213.04196,0.0007203558,-0.00086796033,6.089365,125.896706,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660425,4.8094603e-06,0.0,0.0,10.0
25,123,1,683.0,32.51893,204.35896,0.001697146,0.00025888247,6.037624,199.5266,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660435,4.5815827e-06,0.0,0.0,10.0
26,123,1,703.0,31.430723,198.13498,0.00080531026,0.00018345474,5.6744432,282.39273,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660425,4.77148e-06,0.0,0.0,10.0
26,124,1,651.0,32.368496,202.30547,-0.0010373906,0.0002459138,7.0242524,268.10938,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60434,4.619562e-06,0.0,0.0,0.0
27,85,1,526.0,11.465129,146.5164,0.0016699905,-0.0024082768,6.777456,88.67367,0.7,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.59988,1.4342293e-05,0.0,0.0,30.0
27,123,1,717.0,31.738237,196.8247,-0.00069771125,-0.00014494157,5.662414,368.3129,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660429,4.6955215e-06,0.0,0.0,10.0
27,124,1,670.0,30.718037,206.86955,-0.0035386456,-2.3332375e-05,6.618872,357.4792,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.6042,4.9233977e-06,0.0,0.0,0.0
28,123,1,735.0,26.899672,202.70454,-0.0034863187,0.0017650591,5.167475,455.56232,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660378,5.7589455e-06,0.0,0.0,10.0
28,124,1,699.0,32.719208,230.80827,-0.006548857,0.0014179873,6.029925,446.84897,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60435,4.5436036e-06,0.0,0.0,0.0
29,122,1,758.0,16.79562,100.76683,0.002098076,0.00012576164,6.3798895,503.58682,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660204,9.594865e-06,0.0,0.0,10.0
