row,col,label,elevation,slope,aspect,plan_curvature,profile_curvature,twi,dist_to_stream,soil_depth,cohesion,phi,k_factor,c_factor,r_factor,manning_n,rusle_soil_loss,factor_of_safety,avaflow_depth,avaflow_velocity,landcover
0,89,1,559.0,19.556711,221.41269,-0.0022763272,0.0034489504,5.5212073,519.3282,1.0,0.0,35.0,0.033835303,0.1,3000.0,0.035,176.60269,8.2276065e-06,0.0,0.0,0.0
1,88,1,565.0,17.300896,18.86317,-0.0021960123,0.0033851566,5.652638,398.6412,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660215,9.3669905e-06,0.0,0.0,10.0
4,89,1,565.0,12.27904,24.285192,0.0034053111,0.0032652507,6.011083,279.3112,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660028,1.339281e-05,0.0,0.0,10.0
5,87,1,462.0,25.944145,23.01533,-0.0010526024,-0.0021207451,6.305302,88.209206,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660368,6.0248008e-06,0.0,0.0,10.0
5,88,1,517.0,29.757029,15.9028425,3.2845347e-07,0.0010272532,5.738497,176.41841,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660408,5.151274e-06,0.0,0.0,10.0
5,89,1,559.0,12.684508,28.182732,0.0051621017,0.0036579117,5.9775443,264.62762,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.66005,1.2975035e-05,0.0,0.0,10.0
13,59,1,227.0,17.234976,110.31414,0.0062965434,0.0005905598,5.656697,88.209206,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660215,9.32901e-06,0.0,0.0,10.0
14,62,1,144.0,16.298668,140.84454,-0.006154805,-0.0005990516,7.102169,197.76353,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660187,9.97466e-06,0.0,0.0,10.0
104,9,1,184.0,19.63564,170.06734,0.0045530167,0.0021213163,5.5168476,319.3362,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660269,8.2276065e-06,0.0,0.0,10.0
104,10,1,144.0,24.3612,171.47336,0.0023183792,0.00020712845,5.278522,251.14,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660347,6.480553e-06,0.0,0.0,10.0
104,11,1,105.0,22.481085,179.22536,0.0015431921,-0.0006689722,5.368533,199.3206,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660318,7.0882247e-06,0.0,0.0,10.0
105,9,1,169.0,20.907362,151.09872,0.0009125915,0.00086421426,5.448534,279.3112,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660294,7.657915e-06,0.0,0.0,10.0
105,10,1,134.0,22.642382,162.03189,0.001012876,-0.00018189447,6.0537353,197.76353,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660324,7.012266e-06,0.0,0.0,10.0
105,11,1,99.0,20.082136,167.62885,0.00068677525,-0.0009806447,6.185603,125.57,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660278,8.037709e-06,0.0,0.0,10.0
106,9,1,151.0,20.832834,165.52553,-0.0037300806,7.484225e-06,6.838736,264.62762,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660292,7.695896e-06,0.0,0.0,10.0
106,10,1,121.0,19.23916,167.03072,-0.0028662377,-0.0005363545,6.2320466,176.41841,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660261,8.417505e-06,0.0,0.0,10.0
106,11,1,91.0,16.732378,177.86696,-0.004028804,-0.0006567107,8.253049,88.209206,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660196,9.746785e-06,0.0,0.0,10.0
116,11,1,94.0,15.862656,292.27277,-0.0027925074,-0.0012549837,7.1307626,251.14,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660177,1.0202536e-05,0.0,0.0,10.0
116,12,1,107.0,16.871296,310.8562,-0.0030159715,-0.0015013362,6.77795,319.3362,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660204,9.594865e-06,0.0,0.0,10.0
119,12,1,231.0,23.976332,289.3527,0.00089879154,0.0021645776,5.296505,516.1436,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.660347,6.480553e-06,0.0,0.0,10.0
51,68,0,37.0,1.1661634,326.65472,-0.03529165,2.810601e-05,11.906956,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65409,0.00014290263,0.0,0.0,10.0
66,58,0,33.0,2.029199,71.33919,-0.0006331076,-6.8026886e-05,8.519541,363.9791,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656904,8.14899e-05,0.0,0.0,10.0
60,23,0,29.0,3.4229758,131.55739,-0.0027258603,-0.00015411404,8.401364,125.57,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65842,4.8485796e-05,0.0,0.0,10.0
18,35,0,23.0,3.6680632,51.76149,-0.0029048987,-0.00015958818,7.9265685,89.3698,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.65857,4.5219556e-05,0.0,0.0,10.0
18,38,0,30.0,1.634902,78.545166,-0.000778542,0.00014890154,11.13364,0.0,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.656006,0.000101087295,0.0,0.0,10.0
49,94,0,45.0,6.7317615,95.51147,-0.0006017734,-0.00051618053,7.316147,178.7396,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.659523,2.4444817e-05,0.0,0.0,10.0
66,96,0,42.0,2.5831676,262.78223,-0.0016647197,-0.0008342224,10.292809,320.94562,1.1,0.0,35.0,0.033835303,0.01,3000.0,0.1,17.657711,6.394341e-05,0.0,0.0,10.0
